V1,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qval
MYC,260.456327016728,-1.24400294891156,0.115008397168645,138.426401462339,5.87945156489027e-32,2.7420292235757e-28,3.46015444145218e-29
PTPRS,21.0446910554172,-1.39157601073735,0.150162955687733,93.5865973712516,3.88811539608708e-22,2.53774456645977e-19,3.57187260701304e-20
BLVRA,636.803693630559,1.19458431941667,0.119080368929153,85.0791909760255,2.86651468290782e-20,9.38154937011324e-18,1.27320096480532e-18
DENND3,181.283147289918,1.01469039730468,0.104372849963358,84.812489319618,3.2804565426371e-20,1.01994861338158e-17,1.37900207560898e-18
IGSF6,896.468843954817,1.06903231145212,0.108451365903081,83.8634738040139,5.30150394393457e-20,1.5453055636578e-17,2.08001514149433e-18
TNFSF13B,1237.30655612498,1.28635902094266,0.129589520701961,81.7862291596311,1.51631397963756e-19,3.88183124947253e-17,5.17837784788603e-18
CDKN1A,472.676233603536,1.16901169659152,0.120629939156998,79.4524647642518,4.9396815132856e-19,1.03539054640835e-16,1.36803963782419e-17
SERPINF1,70.09431810819,-1.00364615626723,0.118608469477991,79.3076765769733,5.31527788732681e-19,1.10173898875646e-16,1.45494367703734e-17
PRRG4,59.2609345507028,1.36037165771795,0.147339041053842,77.915719708157,1.07532194298227e-18,1.98615156894398e-16,2.60966903098079e-17
ID1,401.2581436716,1.2123549712754,0.126059244677885,77.4525316630682,1.35950834566521e-18,2.37024562508267e-16,3.10715780966358e-17
CCR7,598.669318277386,-1.25094265701877,0.155583617639061,77.2216590562439,1.52808565818068e-18,2.59149435939641e-16,3.39359875932541e-17
TYMP,4058.38203524768,1.2903038658393,0.134634406565126,76.0213465963197,2.80614766889561e-18,4.12194368214549e-16,5.37061558591915e-17
FCGR1A,245.93007652538,1.71628241230068,0.176734601640816,75.1776914778511,4.30200538670011e-18,5.90102283006549e-16,7.6721251157797e-17
STAT1,907.830520349766,1.12185489752115,0.120918341346771,73.4543017248809,1.02993289729832e-17,1.21603786070254e-15,1.57437022411368e-16
C19orf59,139.000300685805,1.40703667865493,0.155445492375472,69.2372432740713,8.73037903045436e-17,7.79259429727876e-15,1.00253119702128e-15
FCGR2A,419.05755094014,1.00072299918298,0.114416372956503,67.0644560314956,2.62773642725045e-16,2.05968164077131e-14,2.65487781558098e-15
LAP3,688.476957836991,1.21233366564651,0.136978070708106,65.8889707991873,4.770537661947e-16,3.42286077244698e-14,4.40398474930268e-15
TMEM204,76.4784719769704,-1.14390293499728,0.150320984182578,65.6428976099121,5.40494050574217e-16,3.81928655812955e-14,4.91258199044872e-15
FCGR1B,110.719642794724,1.69706413249788,0.18994000429556,65.3118882841495,6.39344903487346e-16,4.40109932640459e-14,5.65812097688808e-15
OASL,138.017316235783,2.09943453101873,0.225692479797842,65.2651340080567,6.54694718930354e-16,4.47374724602409e-14,5.75072634485183e-15
EPHX2,93.2317110999188,-1.05802689857471,0.142610430103804,62.9736948039201,2.09485717653895e-15,1.1987595284765e-13,1.53627174990256e-14
BST1,292.409778105416,1.12127542434871,0.131926200042998,62.6810125800564,2.43047545518541e-15,1.37813129533385e-13,1.76589504261398e-14
SLC16A10,18.4830098978158,-1.39559719960667,0.187262364124111,62.1963713134004,3.10860198539144e-15,1.71510958252136e-13,2.19668866669392e-14
MEFV,76.6836218187026,1.03802817405603,0.126896257832302,62.0471812235839,3.35326019627721e-15,1.82376294348546e-13,2.33544267404197e-14
NFE2,97.2165935448665,1.0897869722222,0.131233331692326,61.938087958461,3.54427367613912e-15,1.89451075726004e-13,2.42542284904973e-14
SECTM1,122.48603662985,1.07845248034337,0.129528162061887,61.863420046476,3.68124959269068e-15,1.95651598722634e-13,2.50459681095472e-14
SCO2,827.19170976864,1.23073746586606,0.143874521747627,61.2363158323378,5.06191662675952e-15,2.5452844925121e-13,3.25576132827573e-14
FHIT,264.839936005321,-1.30247828353851,0.182295242327323,60.8295948160203,6.22352525197391e-15,3.07142496231675e-13,3.92777211186879e-14
ADTRP,74.7418222977574,-1.5546107060098,0.221068631341902,60.8064833502526,6.29701968772811e-15,3.08322578148472e-13,3.94244700502582e-14
ATF3,200.926342158774,1.14202884144828,0.136485920623521,60.4539911335344,7.53184968870325e-15,3.56764612661927e-13,4.57161523333767e-14
HBEGF,321.83701471882,1.60205481937225,0.184010457841768,60.2043891711207,8.5501327141934e-15,4.01070700707794e-13,5.13855898861935e-14
LILRA6,68.6220593699234,1.31385894532599,0.159743050268853,59.9780732251133,9.59200430712218e-15,4.42917921656842e-13,5.67342020494236e-14
LILRA5,499.786214622128,1.04500598423784,0.125031897473507,59.7244845966436,1.09110622795231e-14,4.88450310629966e-13,6.25371417256984e-14
SDSL,26.7161381783155,1.18567811544305,0.154660924797281,59.0910506016821,1.50542364562478e-14,6.53108793235589e-13,8.35817643582542e-14
SIGLEC9,57.0493659023859,1.03891000712504,0.132273750024043,58.3650966605067,2.17719536333385e-14,9.07822620159754e-13,1.16112813665453e-13
SCT,20.157134817232,-1.46341179530874,0.207296549866357,57.7860277057002,2.92238183171503e-14,1.18773492528636e-12,1.51864902340114e-13
LRRC26,17.9020327831016,-1.52420557821341,0.217602000313412,57.7189895093566,3.02369598310993e-14,1.22497782370099e-12,1.5661781468564e-13
OAS1,494.422562023166,1.57309640598775,0.184612450619042,57.7167440384467,3.02714970102468e-14,1.22497782370099e-12,1.5661781468564e-13
QPCT,174.436759774683,1.163949200019,0.143023220231821,57.6312628546461,3.16160380197296e-14,1.26406199449794e-12,1.61938766703118e-13
OAS2,308.336528408971,1.64009455185759,0.192367744522706,57.6295302210037,3.16438998354616e-14,1.26406199449794e-12,1.61938766703118e-13
SAMD4A,108.046454404634,1.21020803788576,0.149269993541412,57.425412950945,3.510421478755e-14,1.39630943893762e-12,1.78869356917602e-13
IFITM3,5271.52583495123,2.01795690070792,0.227907991400781,57.2757526375372,3.78796553168132e-14,1.49712917359142e-12,1.91766050385786e-13
IFI44,561.213090390257,1.9197609360047,0.221564092591099,56.714846220696,5.03817415532913e-14,1.93389174624825e-12,2.48121236689492e-13
TCN2,60.7268484027035,1.58633460790583,0.194920150290236,56.1353801848572,6.76487601930634e-14,2.51893736806706e-12,3.23021612184514e-13
IFI27,1709.65955553796,4.05275622126202,0.409111333505563,54.6455406554792,1.4435149681719e-13,4.9410590332563e-12,6.32798824640524e-13
SEMA6B,24.3304819577034,1.17253287964112,0.159465949522903,54.5931550194204,1.48251107292563e-13,5.06524616582922e-12,6.48685705864191e-13
SMAD7,44.7286561276326,1.039058167854,0.136912616653314,54.5462640455185,1.51831016024844e-13,5.16862701449537e-12,6.61889354878171e-13
PLSCR1,713.483397036661,1.26068426618127,0.155854101159762,54.2910493172676,1.72887530518262e-13,5.79033551493389e-12,7.41327284381854e-13
LILRA4,52.6757276351881,-1.22596486436472,0.179317587965437,53.9915574962577,2.01352919236831e-13,6.65999770986363e-12,8.52514543991122e-13
