,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
AL627309.1,0.054534267634153366,0.005394334904849529,-0.018081514164805412,-0.011680479161441326,-0.035319287329912186,-0.03316940739750862,-0.04333296790719032,-0.06322242319583893,0.016603868454694748,-0.06310178339481354,all
RP11-206L10.3,0.05260809138417244,-0.005793889984488487,-0.02332419529557228,0.04549537971615791,0.0537479966878891,-0.011391432955861092,2.5567276679794304e-05,-0.09446458518505096,-0.09186624735593796,-0.06540441513061523,all
HES4,-0.2642390727996826,-0.16195246577262878,-0.23798254132270813,-0.22816818952560425,0.1750427931547165,1.1223827600479126,0.991085946559906,-0.5978041291236877,-0.9075809717178345,-0.4243692457675934,all
ISG15,-0.16440069675445557,0.3046058118343353,-0.4755743443965912,-0.1555066555738449,-0.01048837136477232,0.5803709030151367,0.5031554698944092,-0.020803941413760185,0.4794003367424011,-1.455949068069458,all
AGRN,0.0004756429116241634,0.010654916055500507,-0.0020626361947506666,0.007805510424077511,-0.042764198035001755,-0.010881243273615837,-0.028790900483727455,0.02299024723470211,0.19244424998760223,-0.06637684255838394,all
ACAP3,0.015340933576226234,-0.010332097299396992,0.017370378598570824,-0.024330642074346542,-0.0009277382050640881,-0.011628496460616589,-0.021835653111338615,-0.03072671964764595,-0.08449194580316544,-0.05240969732403755,all
DVL1,0.0001723424793453887,0.0003532971895765513,0.007509846240282059,-0.02704036235809326,-0.011554248631000519,0.0032527297735214233,-0.00719173951074481,-0.03270159289240837,-0.005354748573154211,-0.009445736184716225,all
C1orf233,-0.0038214472588151693,-0.0005488241440616548,0.008573521859943867,0.011423707008361816,-0.014308677986264229,0.011768174357712269,0.05810399353504181,-0.042660120874643326,-0.11931940168142319,-0.08146558701992035,all
PRKCZ,0.00895882397890091,0.009924868121743202,-0.007682736497372389,0.031133633106946945,0.013549388386309147,-0.007830238901078701,-0.043314963579177856,-0.05671587586402893,0.2529509663581848,0.02280556410551071,all
SMIM1,0.011139994487166405,0.0026391223073005676,0.00487339124083519,0.01918123848736286,0.0512937493622303,-0.012010812759399414,-0.020751675590872765,-0.04924857243895531,0.05324512720108032,-0.05454808846116066,all
PHF13,-0.006320712622255087,-0.004230216611176729,-0.0010968856513500214,-0.003365755081176758,0.01219978928565979,0.030157146975398064,-0.02674964629113674,-0.009356335736811161,0.02334788627922535,-0.07448291033506393,all
UTS2,0.018642252311110497,0.01741189695894718,0.02186117134988308,0.040167178958654404,-0.05647212266921997,-0.08398143202066422,-0.1089998185634613,0.07705187052488327,-0.09619798511266708,-0.09909289330244064,all
PIK3CD,0.025542782619595528,0.008244250901043415,-0.021427378058433533,-0.023326978087425232,-0.011425391770899296,-0.0013934315647929907,-0.011025162413716316,-0.07600525766611099,-0.17705599963665009,0.07581096142530441,all
RBP7,0.4200811982154846,-0.0031856743153184652,-0.10869250446557999,0.1478731781244278,-0.12234507501125336,-0.2960658669471741,-0.22813546657562256,-0.35985350608825684,-0.1790405511856079,-0.5773273706436157,all
KIF1B,0.011681713163852692,-0.018500367179512978,0.015752844512462616,0.052918270230293274,0.004467286169528961,0.009428435005247593,0.014242136850953102,-0.04778413474559784,-0.1320822834968567,-0.11331605911254883,all
MTHFR,0.008641084656119347,-0.012524500489234924,0.04238022863864899,0.020487377420067787,-0.012275340966880322,-0.023566126823425293,-0.031704697757959366,-0.009286599233746529,-0.10096007585525513,-0.2147062122821808,all
KIAA2013,0.008200138807296753,0.011389431543648243,0.0078799519687891,0.011086066253483295,-0.02917400561273098,-0.020863104611635208,-0.05989374220371246,-0.06218136101961136,-0.08409996330738068,0.05280844494700432,all
MFN2,0.004802199080586433,0.007894999347627163,-0.003763136686757207,0.0038151536136865616,-0.0009872402297332883,0.00927551556378603,0.01451776921749115,-0.05347973853349686,-0.11776060611009598,-0.07297253608703613,all
RP11-108M9.4,0.030999820679426193,0.0058811926282942295,0.05471089854836464,0.00978719163686037,0.005279322154819965,-0.09553592652082443,-0.09991268068552017,-0.03771531954407692,-0.16812770068645477,-0.138997882604599,all
PADI2,0.13589508831501007,-0.010956862010061741,-0.03494434803724289,0.006247567478567362,-0.026168912649154663,-0.12999886274337769,-0.11162203550338745,0.04273786395788193,0.22678734362125397,-0.1289251297712326,all
PADI4,0.28195905685424805,-0.026231518015265465,-0.11461485177278519,0.01513786893337965,-0.10236188769340515,-0.1795893907546997,-0.17522479593753815,-0.1067899763584137,0.09592132270336151,0.02796643227338791,all
IFFO2,0.01010947860777378,-0.029300207272171974,0.033514685928821564,-0.002626901725307107,-0.027987582609057426,-0.01585838384926319,-0.04082542657852173,0.0103750079870224,0.05813360959291458,0.0039153676480054855,all
