,cM,cMact,cMinf,Mac1,Mac2,ncM,ncMcomp,cDC1,cDC2,pDC,cell_type
AL627309.1,0.05453401803970337,0.005394357722252607,-0.01808151789009571,-0.011680476367473602,-0.035319261252880096,-0.033169351518154144,-0.04333297163248062,-0.06322233378887177,0.0166038628667593,-0.06310170888900757,all
RP11-206L10.3,0.052608128637075424,-0.005793910939246416,-0.02332422137260437,0.045495375990867615,0.05374803766608238,-0.011391418054699898,2.5568830096744932e-05,-0.0944647490978241,-0.09186623990535736,-0.06540439277887344,all
HES4,-0.26423874497413635,-0.16195262968540192,-0.2379831224679947,-0.2281682938337326,0.17504280805587769,1.1223812103271484,0.9910863637924194,-0.5978041887283325,-0.9075813293457031,-0.4243689179420471,all
ISG15,-0.16440041363239288,0.3046061098575592,-0.47557544708251953,-0.15550655126571655,-0.010488362982869148,0.5803731083869934,0.5031549334526062,-0.020803919062018394,0.4794003367424011,-1.455948829650879,all
AGRN,0.00047565746353939176,0.010654907673597336,-0.002062627812847495,0.007805515080690384,-0.04276423528790474,-0.010881329886615276,-0.0287909097969532,0.022990239784121513,0.19244429469108582,-0.06637679040431976,all
ACAP3,0.015340988524258137,-0.010332077741622925,0.017370425164699554,-0.024330638349056244,-0.0009277316275984049,-0.011628524400293827,-0.02183564379811287,-0.030726656317710876,-0.08449196070432663,-0.052409689873456955,all
DVL1,0.00017234720871783793,0.00035330525133758783,0.007509841118007898,-0.027040349319577217,-0.011554255150258541,0.003252716502174735,-0.007191736716777086,-0.03270157426595688,-0.005354741122573614,-0.009445750154554844,all
C1orf233,-0.003821446793153882,-0.0005488171009346843,0.008573554456233978,0.011423692107200623,-0.014308671467006207,0.01176820695400238,0.05810398980975151,-0.042660150676965714,-0.11931940913200378,-0.08146549016237259,all
PRKCZ,0.008958788588643074,0.009924829937517643,-0.0076827434822916985,0.031133651733398438,0.013549369759857655,-0.007830243557691574,-0.04331493377685547,-0.05671602487564087,0.2529509663581848,0.02280556969344616,all
SMIM1,0.011140024289488792,0.002639135578647256,0.004873435478657484,0.019181234762072563,0.05129370093345642,-0.012010821141302586,-0.020751670002937317,-0.049248527735471725,0.05324515700340271,-0.05454808846116066,all
PHF13,-0.006320704240351915,-0.004230205900967121,-0.0010969076538458467,-0.003365754382684827,0.01219981163740158,0.030157040804624557,-0.02674965374171734,-0.009356318041682243,0.023347875103354454,-0.07448287308216095,all
UTS2,0.01864224299788475,0.017411887645721436,0.021861249580979347,0.040167201310396194,-0.056472115218639374,-0.08398128300905228,-0.1089995801448822,0.07705173641443253,-0.0961979478597641,-0.09909290820360184,all
PIK3CD,0.025542782619595528,0.00824429839849472,-0.021427443251013756,-0.023326950147747993,-0.011425388976931572,-0.001393430633470416,-0.011025170795619488,-0.07600530236959457,-0.1770559549331665,0.07581103593111038,all
RBP7,0.42007845640182495,-0.003185666399076581,-0.10869204252958298,0.14787310361862183,-0.12234507501125336,-0.2960662841796875,-0.228135347366333,-0.3598538339138031,-0.17904049158096313,-0.5773269534111023,all
KIF1B,0.011681727133691311,-0.01850038208067417,0.015752991661429405,0.052918195724487305,0.0044672866351902485,0.009428405202925205,0.014242121018469334,-0.047784216701984406,-0.13208231329917908,-0.11331602185964584,all
MTHFR,0.008641114458441734,-0.012524540536105633,0.04238053411245346,0.020487336441874504,-0.01227535493671894,-0.023566167801618576,-0.031704723834991455,-0.009286588989198208,-0.10096009075641632,-0.2147062122821808,all
KIAA2013,0.008200125768780708,0.011389353312551975,0.007880001328885555,0.011086061596870422,-0.029174000024795532,-0.020863045006990433,-0.059893835335969925,-0.062181271612644196,-0.08409997075796127,0.05280840024352074,all
MFN2,0.0048021841794252396,0.007894988171756268,-0.0037631429731845856,0.003815168049186468,-0.000987243140116334,0.009275505319237709,0.014517792500555515,-0.05347977951169014,-0.11776053160429001,-0.07297256588935852,all
RP11-108M9.4,0.03099982999265194,0.005881183315068483,0.054711371660232544,0.009787197224795818,0.005279335658997297,-0.09553635120391846,-0.0999128445982933,-0.037715304642915726,-0.16812780499458313,-0.1389978975057602,all
PADI2,0.13589471578598022,-0.01095688808709383,-0.03494441881775856,0.006247561424970627,-0.026168907061219215,-0.12999865412712097,-0.11162212491035461,0.04273774474859238,0.22678735852241516,-0.12892508506774902,all
PADI4,0.28195619583129883,-0.026231564581394196,-0.11461532860994339,0.01513785868883133,-0.10236194729804993,-0.17958964407444,-0.17522452771663666,-0.10679011046886444,0.0959213525056839,0.027966395020484924,all
IFFO2,0.01010950468480587,-0.02930017001926899,0.03351464495062828,-0.002626916626468301,-0.027987563982605934,-0.015858374536037445,-0.04082541912794113,0.010374982841312885,0.05813361704349518,0.003915356006473303,all
CDA,0.26351457834243774,-0.033728230744600296,-0.0583270862698555,0.0975126400589943,-0.07524459064006805,-0.06490004062652588,-0.1986127346754074,-0.4374123215675354,-0.3999132215976715,-0.5199910998344421,all
PINK1,0.0153965437784791,0.0007466758834198117,0.01000494509935379,0.019355427473783493,0.0014252903638407588,-0.00867053959518671,-0.007129295263439417,-0.07809703797101974,-0.10511896759271622,-0.06714022159576416,all
ECE1,0.03840411826968193,-0.015500982291996479,-0.01477666012942791,0.01860637776553631,-0.032119814306497574,0.05117984861135483,-0.052863698452711105,-0.1640811562538147,0.09907602518796921,-0.13261215388774872,all
C1QA,-0.16895385086536407,-0.10336532443761826,-0.140425905585289,-0.14121578633785248,0.011201513931155205,0.2843162417411804,5.259416580200195,-0.435929536819458,-0.7914985418319702,-0.3488033413887024,all
C1QC,-0.05007310211658478,-0.05470806732773781,-0.06112445890903473,-0.0438845194876194,-0.030059637501835823,-0.11105062067508698,4.7176103591918945,-0.24152164161205292,-0.403854101896286,-0.2075168490409851,all
C1QB,-0.09881441295146942,-0.08406832069158554,-0.10239341109991074,-0.08627654612064362,-0.03196253255009651,-0.1353369802236557,6.945769786834717,-0.2624741196632385,-0.524728000164032,-0.24758803844451904,all
EPHB2,0.027858534827828407,0.02710888534784317,-0.022685017436742783,0.016361378133296967,-0.041201695799827576,-0.0201682448387146,0.051208168268203735,-0.0563305988907814,-0.019830778241157532,-0.1702214926481247,all
ID3,-0.030128244310617447,-0.03474896773695946,0.04201769828796387,-0.026445690542459488,-0.048337820917367935,-0.087557852268219,-0.12076061218976974,0.5959117412567139,-0.054755136370658875,-0.20977745950222015,all
CLIC4,0.012680472806096077,0.003891772823408246,0.032358959317207336,-0.019381139427423477,0.08432719856500626,-0.04584913328289986,-0.042208410799503326,-0.0249355286359787,-0.1468973159790039,-0.13851900398731232,all
PAQR7,-0.05433739721775055,-0.016467785462737083,0.04573562368750572,-0.030453752726316452,0.030139299109578133,0.05900367721915245,0.013439223170280457,-0.0025532373692840338,-0.19819624722003937,-0.11157932877540588,all
STMN1,-0.08064652234315872,-0.07408805191516876,-0.06247776001691818,-0.0537228062748909,-0.006025602575391531,-0.09812038391828537,-0.13600826263427734,-0.00878890324383974,0.2652181386947632,3.9533913135528564,all
CD52,-0.11043110489845276,-0.06895153224468231,-0.08922617137432098,-0.12196043878793716,0.12383770197629929,0.5577625036239624,0.38732534646987915,-0.3062010705471039,-1.2477418184280396,-0.816302478313446,all
WDTC1,0.029733236879110336,-0.006942555774003267,0.013269699178636074,0.010523655451834202,-0.0018584381323307753,-0.04409635439515114,-0.05021878331899643,-0.014661489054560661,-0.08426280319690704,0.0026198681443929672,all
IFI6,-0.04315310716629028,0.34215664863586426,-0.3768565356731415,-0.035177260637283325,-0.29885217547416687,0.2843136489391327,0.1858588308095932,-0.016968054696917534,-0.054629135876894,-1.7854576110839844,all
RNU11,0.10907531529664993,-0.02674124576151371,0.003179270541295409,0.046973638236522675,0.06048581749200821,-0.08367211371660233,-0.097416952252388,-0.1186850443482399,-0.19685550034046173,-0.0793810784816742,all
RP11-84A19.4,-0.0025528075639158487,-0.0013412521220743656,0.0020167394541203976,0.01898520439863205,0.050824422389268875,0.017976300790905952,-0.006500733084976673,-0.04298781603574753,-0.13271859288215637,-0.050429970026016235,all
FAM229A,0.009286688640713692,-0.0009369745384901762,0.0008657327853143215,-0.037071794271469116,-0.006559495348483324,-0.008546299301087856,-0.005368173588067293,-0.0037447065114974976,0.022454705089330673,-0.0002103837177855894,all
S100PBP,0.00976710394024849,-0.00401977589353919,-0.003594270208850503,0.03541247174143791,-0.018924521282315254,-0.041710224002599716,-0.05938642844557762,-0.001426244736649096,-0.009260190650820732,0.38135531544685364,all
RNF19B,0.01585063710808754,-0.02828480862081051,0.06679439544677734,0.013726618140935898,0.11061060428619385,-0.03578149154782295,-0.04451499879360199,-0.07520538568496704,-0.07772956043481827,-0.19222962856292725,all
PHC2,0.025763193145394325,0.07042250782251358,-0.029253322631120682,0.03330231085419655,-0.07360691577196121,-0.05161941796541214,-0.03301661089062691,-0.09116825461387634,0.02377992868423462,-0.2033545970916748,all
ZMYM4,0.020924312993884087,0.013252314180135727,-0.002100870246067643,0.0009835097007453442,-0.02130528911948204,-0.05310053378343582,-0.035468924790620804,0.01021023653447628,-0.07885878533124924,0.06624910980463028,all
KIAA0319L,0.08594278246164322,0.026687342673540115,-0.033592600375413895,0.021660013124346733,-0.042794253677129745,-0.0927392840385437,-0.07688283175230026,-0.033054646104574203,-0.023188365623354912,-0.11817656457424164,all
AGO4,0.059237364679574966,0.009260421618819237,0.022471724078059196,0.027026811614632607,-0.0035736963618546724,-0.0936993956565857,-0.08192291855812073,-0.0446179062128067,-0.17329959571361542,-0.18888483941555023,all
EVA1B,-0.010448023676872253,0.014881822280585766,0.06768179684877396,0.0036938816774636507,0.005838154815137386,-0.08637119084596634,-0.07274676114320755,0.03410640358924866,-0.014905249699950218,-0.1633216291666031,all
CSF3R,0.2409670352935791,-0.019021322950720787,0.15948891639709473,0.2454543262720108,-0.08193033933639526,-0.44524073600769043,-0.39507532119750977,-0.060762371867895126,-0.36755502223968506,-0.6493334174156189,all
MYCL,0.009531691670417786,0.006392407696694136,0.04150897264480591,-0.0006098645972087979,-0.038605205714702606,-0.13605812191963196,-0.147988960146904,0.08284208923578262,0.4793221652507782,0.36618101596832275,all
RLF,0.012425439432263374,-0.008108989335596561,0.00862276554107666,0.015191691927611828,0.04405086115002632,-0.010409216396510601,-0.017140967771410942,-0.016056334599852562,-0.08262667059898376,-0.04896939545869827,all
CITED4,0.025977525860071182,0.022251872345805168,-0.00030999709269963205,-0.0013765603071078658,-0.015041546896100044,-0.062465034425258636,-0.05824888125061989,0.01184102799743414,-0.015949968248605728,-0.05867414548993111,all
C1orf228,0.07724085450172424,0.00492875836789608,0.021509679034352303,0.030369391664862633,-0.01820020191371441,-0.17422957718372345,-0.18829002976417542,-0.06277801841497421,-0.22562964260578156,0.516488254070282,all
BTBD19,0.015063297934830189,-0.035936128348112106,0.02854638360440731,-0.012270079925656319,0.02715914137661457,0.001999562606215477,-0.0470493920147419,-0.05104239657521248,0.21242858469486237,0.043395671993494034,all
PTCH2,0.14053554832935333,-0.014868815429508686,-0.004846908152103424,0.04719376936554909,0.08779732137918472,-0.12001632153987885,-0.12438491731882095,-0.15840956568717957,-0.2676757276058197,-0.12659989297389984,all
MOB3C,-0.004131215624511242,0.003942429553717375,-0.0008994810050353408,-0.015311499126255512,0.10102248936891556,0.012292313389480114,0.008541561663150787,-0.056564781814813614,-0.04820304363965988,-0.004710851702839136,all
LINC00853,-0.010715979151427746,0.004029558040201664,0.008309115655720234,-0.01283887680619955,-0.2210327684879303,0.022565623745322227,0.04135584086179733,-0.06073537468910217,0.048348601907491684,0.0494508258998394,all
PDZK1IP1,-0.018483344465494156,-0.010399740189313889,0.006823889911174774,-0.0015419709961861372,-0.09985443949699402,0.036941953003406525,0.08491918444633484,-0.042513515800237656,-0.07340823858976364,0.08554258942604065,all
TAL1,-0.016874773427844048,-0.00617398414760828,0.008423234336078167,-0.027873793616890907,-0.008079909719526768,0.03224244341254234,0.049298662692308426,-0.058929745107889175,-0.15683481097221375,0.07643656432628632,all
ZYG11B,0.016662921756505966,0.006208258680999279,0.025191063061356544,-0.010957819409668446,-0.017169654369354248,-0.036039404571056366,-0.002143692225217819,-0.044941358268260956,-0.14422154426574707,-0.14931471645832062,all
RP11-117D22.2,-0.04784879460930824,-0.060107775032520294,-0.05309855565428734,-0.05341658368706703,-0.02587055414915085,-0.08380584418773651,-0.15051372349262238,-0.030683103948831558,0.043471697717905045,3.175215005874634,all
JUN,0.3843277096748352,-0.13390472531318665,0.052595242857933044,0.12747828662395477,-0.13217920064926147,-0.3415270745754242,-0.287142813205719,-0.10493849217891693,-0.07257971167564392,-0.5164361000061035,all
LINC01135,0.04800783097743988,-0.0186017956584692,0.0034518179018050432,-0.013593625277280807,0.005345817189663649,-0.021102139726281166,-0.009924178011715412,-0.06369096785783768,-0.04014277458190918,-0.0714755654335022,all
NFIA,0.03313923999667168,0.01409738790243864,-0.008805714547634125,0.011189942248165607,-0.002980100456625223,-0.02458110824227333,-0.0147633608430624,-0.08032336831092834,-0.1059441789984703,-0.08930298686027527,all
ITGB3BP,-0.002737644826993346,-0.0013663024874404073,-0.0033516273833811283,-0.040356121957302094,-0.027925295755267143,0.004970661364495754,-0.01817939803004265,-0.016971781849861145,-0.005495681893080473,0.1673058271408081,all
LEPR,-0.0005372686428017914,0.0021842631977051497,-0.002649701898917556,-0.01289698388427496,-0.005801461637020111,-0.003401081543415785,0.007675567176192999,0.017185771837830544,-0.12914533913135529,0.02314153127372265,all
PDE4B,0.031782928854227066,-0.13568316400051117,0.16480553150177002,0.025821581482887268,-0.008501403965055943,-0.06690491735935211,-0.09457653015851974,0.0007156427600421011,0.3334629535675049,-0.03774363175034523,all
GADD45A,0.014235123991966248,-0.023749928921461105,-0.009570612572133541,-0.014561465010046959,0.05256718024611473,0.012269075028598309,0.014575041830539703,-0.03505316749215126,0.016798073425889015,0.19330671429634094,all
WLS,0.14931601285934448,-0.016712598502635956,-0.022438133135437965,0.027648935094475746,-0.050805751234292984,-0.11559716612100601,-0.10892625898122787,-0.09738607704639435,-0.05340716242790222,-0.13154855370521545,all
LRRC7,0.000273580604698509,-0.007663702126592398,-0.0026205002795904875,0.0034706091973930597,-0.002850320190191269,-0.008776184171438217,0.003976293373852968,0.02503689005970955,0.149994894862175,0.12468300014734268,all
ST6GALNAC3,0.04774567484855652,-0.00535340141505003,-0.0014865003759041429,0.022486750036478043,-0.016711881384253502,-0.03686719015240669,-0.0321805514395237,-0.050268806517124176,-0.04214603826403618,-0.0763583555817604,all
NEXN,-0.016728980466723442,0.05268030986189842,-0.08031526952981949,-0.022664440795779228,0.32066449522972107,0.08526769280433655,0.035435840487480164,-0.058938466012477875,-0.04047983139753342,-0.308135449886322,all
DNAJB4,0.009345319122076035,-0.004544662311673164,-0.00686671631410718,-0.022576119750738144,0.036345213651657104,-0.0019445124780759215,0.025440705940127373,-0.03610735014081001,-0.06068854779005051,0.11287674307823181,all
RP11-386I14.4,0.06494418531656265,-0.011811764910817146,0.0466802716255188,0.003163152141496539,0.0015852398937568069,-0.08938048034906387,-0.0974879339337349,-0.14416155219078064,-0.3166271150112152,-0.018390601500868797,all
IFI44L,-0.042712610214948654,0.2709271311759949,-0.31615930795669556,-0.030020903795957565,-0.21894419193267822,0.1538459062576294,0.12654946744441986,0.10773012042045593,0.3220328092575073,-0.7786646485328674,all
IFI44,0.008805605582892895,0.18825127184391022,-0.19981110095977783,-0.020070381462574005,-0.06475790590047836,0.05002209171652794,0.06454308331012726,0.01248577143996954,0.10651938617229462,-0.6672877073287964,all
