,leiden_0,leiden_1,leiden_2,leiden_3,leiden_4,leiden_5,leiden_6,leiden_7,leiden_8,leiden_9,leiden_10,leiden_11,leiden_12,leiden_13,leiden_14,leiden_15,leiden_16,leiden_17
0,TSHZ2,RTKN2,CD79A,KLRF1,GZMH,RP11-291B21.2,GZMK,RP5-887A10.1,SBF2,CLU,SOX4,IFIT3,HBA1,EIF1AY,KIAA0101,ACVR2B,HLA-DRA,TNFRSF17
1,LTB,S100A4,HLA-DRA,GNLY,CCL5,CD8B,DUSP2,MS4A1,CTD-2035E11.3,MYL9,ITM2A,IFI44L,HBA2,RPS4Y1,TYMS,PRDM6,NKG7,MZB1
2,AIF1,TNFRSF4,TCL1A,TYROBP,NKG7,S100B,CCL5,HLA-DRA,IL32,PPBP,CHI3L2,IFI6,FGFBP2,DDX3Y,MKI67,HBB,CD79A,IGJ
3,FAM13A,ITGB1,CD74,GZMB,FGFBP2,CD8A,LYAR,CD79A,CD8B,GP9,AIF1,ISG15,GZMB,PRDM6,STMN1,GABRE,CD74,DERL3
4,EPHB6,IL32,HLA-DQB1,FCER1G,CST7,AIF1,IL32,BANK1,ZFP36L2,NRGN,LTB,IFIT1,NKG7,DONSON,TK1,DONSON,HLA-DQB1,HRASLS2
5,TMIGD2,LTB,CD79B,PRF1,GZMA,PASK,PIK3R1,AL928768.3,JUN,TREML1,MIR181A1HG,MX1,PRF1,TTTY15,NUSAP1,IFI27,TCL1A,ITM2C
6,AC013264.2,RP11-1399P15.1,HLA-DRB1,SPON2,S100A4,CRTAM,GZMA,CLECL1,CD8A,ITGA2B,STMN1,RSAD2,CST7,UTY,CLSPN,PPBP,HLA-DPA1,AL928768.3
7,HSPB1,ANXA1,MEF2C,NKG7,IL32,SPINK2,ZFP36L2,CD74,TNFAIP3,LTB,EPHB6,USP18,SPON2,GABRE,PCNA,PF4,HLA-DPB1,IGLL5
8,SCGB3A1,S100A11,MS4A1,CLIC3,GNLY,PRDM6,KLRG1,HLA-DPA1,RP5-1073O3.7,AIF1,TMIGD2,EIF2AK2,GNLY,ACVR2B,BIRC5,GZMH,HLA-DRB1,CD38
9,ITM2A,RP11-403A21.2,HLA-DPA1,CTSW,CCL4,DONSON,CMC1,HLA-DQA1,HCST,CD7,HSPB1,HERC5,GZMA,LTB,RRM2,HBA2,MEF2C,POU2AF1
10,KNOP1,IL2RA,HLA-DPB1,FCGR3A,GZMB,GABRE,HCST,HLA-DQB1,PTCRA,TMIGD2,SMC4,CMPK2,GZMH,TSHZ2,CENPF,CCL5,MS4A1,PRDM6
11,RP11-796E2.4,TIMP1,HLA-DQA1,FGFBP2,LGALS1,TSPAN32,NKG7,HLA-DPB1,PIK3R1,TSHZ2,CD7,OAS3,FCGR3A,AIF1,TOP2A,GNG11,HLA-DQA1,DONSON
12,PASK,GATA3,VPREB3,IGFBP7,C12orf75,CD7,S100A4,HLA-DRB1,KLRG1,SDPR,AC013264.2,STAT1,KLRF1,TNFAIP3,CENPU,NKG7,CST7,CPNE5
13,HEMGN,LPAR6,FCER2,KLRD1,HCST,ACVR2B,CST7,IGJ,CCL5,GNG11,RGS1,IFI44,CCL4,FAM13A,PTTG1,CCL4,CCL5,GNG7
14,GPR183,S100A6,LINC00926,KLRB1,CD8A,AC013264.2,CD8A,RALGPS2,RP11-291B21.2,SPARC,BACH2,XAF1,KLRD1,AC013264.2,TUBB,GZMA,GNLY,EAF2
15,TTN,ARID5B,CD37,GZMA,KLRD1,RP5-1073O3.7,SLC4A10,CD79B,S100A6,IFITM1,HEMGN,MX2,CCL5,ZFP36L2,TUBA1B,FGFBP2,CD79B,GABRE
16,HMGN5,KLF6,HLA-DMB,HOPX,S100A6,AC016629.8,AC092580.4,BLK,PRDM6,PF4,RP11-796E2.4,OAS1,CTSW,RP11-291B21.2,RAD51AP1,GZMB,GZMA,LGALS3
17,KCNQ1OT1,TNFAIP3,HLA-DMA,CST7,KLRG1,TMIGD2,KLRB1,COBLL1,DUSP2,EPHB6,TOX,SPATS2L,TYROBP,RGS18,HIST1H1B,CST7,GZMB,MAN1A1
18,MLH3,LMNA,IGLL5,CD7,CTSW,HSPB1,CD8B,ARHGAP24,S100A4,AC013264.2,ITM2C,DDX60,CLIC3,GPR171,GZMA,KLRB1,VPREB3,ACVR2B
19,XXbac-BPG299F13.17,ZFP36L2,BANK1,CMC1,ZNF683,SCGB3A1,LAG3,SCIMP,FOS,C1orf56,HPGD,SAMD9L,PTGDS,TMIGD2,SMC2,BDH1,LINC00926,RRBP1
20,C16orf54,PIK3R1,CD22,IL2RB,LINC00152,KLRC4,SRGN,AC079767.4,TSPYL2,HSPB1,ZFP36L2,IRF7,HCST,GADD45A,CKS2,CLU,FGFBP2,CD79A
21,BDH1,CRIP1,RALGPS2,CD247,PATL2,HCST,SH2D1A,MARCKS,ACVR2B,SCGB3A1,RP11-25K19.1,MT2A,FCER1G,S100A8,SMC4,HBA1,GZMH,ANXA2
22,MPP1,RORA,PPAPDC1B,KLRC1,PLEK,FXYD2,ID2,HLA-DMA,LYAR,CMTM5,TUBB,PLSCR1,PRSS23,BDH1,MT2A,SDPR,PRF1,RP5-887A10.1
23,CYB5D2,GPR183,HLA-DRB5,CD63,FCRL6,HPGD,S100A6,SPIB,DONSON,HNRNPH1,IKZF2,EPSTI1,CD247,HSPB1,MT1E,RGS18,IGLL5,DYNLL1
24,ID3,ANXA2,HVCN1,IFITM2,PTMS,RP1-313I6.12,SYNE2,HLA-DRB5,AIF1,PRKAR2B,SPRY1,HERC6,IGFBP7,RP11-347P5.1,RP5-1028K7.2,TSHZ2,KLRD1,IFNG-AS1
25,BACH2,ITM2A,MARCH1,XCL2,AC092580.4,RETN,ARL4C,LY86,CMTM5,FAM13A,CDCA7L,PARP9,HOPX,CD69,CD38,LAIR2,HVCN1,CXXC5
26,LINC00685,DUSP4,TSPAN13,CCL4,LYAR,YBX3,ATG2A,CCDC50,A2M-AS1,PASK,CD9,GBP1,KLRB1,KNOP1,CENPE,SDR42E2,HLA-DMB,METTL7A
27,CD7,LIMS1,ADAM28,SRGN,MYO1F,HBB,GPR171,MARCH1,AC013264.2,RP11-796E2.4,FAM13A,OASL,S1PR5,MTRNR2L2,ANXA2,CMC1,ADAM28,PDLIM1
28,WBP4,MAF,FAM26F,AKR1C3,FLNA,CCDC152,FYN,GNG7,GP9,HIST1H2AE,KCNQ1OT1,IFIT2,SRGN,RP11-1399P15.1,NKG7,C1orf56,HLA-DRB5,HIST1H1E
29,CCDC34,FRMD4B,FCRL1,RHOC,ANXA1,ATP8A1,EOMES,TCF4,CITED2,KNOP1,TNFAIP3,IFI35,S100A4,HIST1H1D,BRCA2,KLRD1,RALGPS2,CCR10
30,LINC00662,RP11-138A9.2,FAM129C,MYOM2,SRGN,PRMT10,MT2A,POU2AF1,ITM2A,CDC42SE1,TFDP2,DDX58,PLEK,ITM2A,C12orf75,IFNG,CCL4,RNASE6
31,PLEKHA1,GPR171,EAF2,CD160,ZEB2,DIP2A,CTSW,IGLL5,ANXA1,KCNQ1OT1,RP5-1073O3.7,IFI27,EFHD2,MAP3K7CL,FAM111B,RP5-1028K7.2,SPON2,HIST1H1C
32,TNFSF10,LGALS3,BCL7A,EFHD2,LAG3,BACH2,A2M-AS1,HLA-DMB,GABRE,F13A1,GALNT6,TNFSF10,LGALS1,NDUFAF2,CCDC28B,SIAH2,BANK1,BASP1
33,C1orf131,CD69,PHACTR1,SH2D1B,IFNG,TCEAL4,PHACTR2,MEF2C,MPP1,PLEKHA1,IFITM1,NT5C3A,CMC1,CD8B,LGALS1,PRKAR2B,CTSW,OAS1
34,ENTPD3-AS1,LGALS1,HLA-DOB,HCST,PRF1,RNU12,RORA,LINC00926,ID2,ZFP36L2,LINC00685,OAS2,FCRL6,ZNF331,GZMB,IL32,SNX29P2,PTGDS
35,TKTL1,FAM129A,CD83,MATK,CD8B,CD9,ZFP36,ADAM28,PASK,SPINK2,MAP3K7CL,IFITM1,CD63,PIK3R1,SH2D1A,SPON2,CD22,KIAA0125
36,CCDC152,RP11-138A9.1,IRF8,S1PR5,C1orf21,SPRY1,RP11-222K16.2,VPREB3,HEXIM1,TCEAL4,ID3,HELZ2,CYBA,CD7,CCDC34,RALGDS,HLA-DMA,LGALS1
37,MRPS31,PRDM1,SNX29P2,ID2,ID2,PRCD,AC006369.2,FCRL2,LMNA,TUBB1,JARID2,IFITM3,IFITM2,XXbac-BPG299F13.17,HIST1H1D,XXbac-BPG299F13.17,CMC1,PPAPDC1B
38,C1orf56,TNFSF10,AFF3,APMAP,ITGB1,ARHGAP10,GABARAPL1,CD37,LPAR6,HMGN5,CA2,IFIH1,TTC38,LPAR6,DONSON,GNLY,MARCH1,COCH
39,WDR60,SYNE2,NCF1,PRSS23,PYHIN1,SH3BGRL2,TNFAIP3,CPNE5,HSPB1,C16orf54,GADD45A,GBP4,ID2,MTRNR2L8,PRF1,PTGDS,BCL11A,ENTPD1
40,CENPF,BIRC3,IL4R,TTC38,IFITM2,LTB,NCR3,P2RX5,SDR42E2,LINC00685,CCDC28B,DTX3L,AKR1C3,FOS,MIR4435-1HG,RP11-138A9.2,PLEK,SLAMF7
41,CLDN5,RCBTB2,BCL11A,XCL1,SAMD3,BDH1,CREM,FCRLA,RNU12,WDR60,RP11-103G8.2,LTB,APMAP,B3GAT2,LINC00152,TTC16,CLIC3,EPSTI1
42,TMEM91,ICA1,FCRLA,CCL3,MIR4435-1HG,RP11-103G8.2,ANXA1,KIAA0125,GZMK,ZNF528,CD38,IRF9,PYHIN1,MLH3,HIST1H4C,C16orf54,FCER2,CD70
43,LIMA1,RGS1,LY86,CD300A,HOPX,TSPYL2,MYBL1,SWAP70,RP11-796E2.4,DUOX1,RP11-347P5.1,CARD16,MYO1F,GPRIN3,GZMH,ID2,CD37,CTSH
44,NDUFAF2,FAM13A,RP11-693J15.5,CHST2,CES1,RP11-47L3.1,JUN,CTSH,GPR171,KIAA0020,WDR60,RGS1,C12orf75,PRMT10,GZMK,RORA,REL,CYBA
45,CYSLTR1,RP11-798M19.6,SWAP70,CCL5,LAIR2,IL32,CRTAM,PPP1R14A,IFNG,TKTL1,SH2D1A,RP11-1399P15.1,CD160,GPR183,HIST1H1C,ITGA2B,EFHD2,CCDC50
46,LPAR6,GPRIN3,BIRC3,CYBA,MT1E,RP11-796E2.4,GPR65,GPR183,CRTAM,SMCR5,BBC3,C5orf56,ASCL2,CITED2,CST7,KLRF1,FCGR3A,HIST1H1D
47,LGALS2,KLRB1,PKIG,GZMH,EFHD2,NDUFAF2,GBP5,PDLIM1,ID1,BRD8,GNG8,ITM2A,GPR56,CCDC152,HIST1H1E,MAF,KLRF1,PNOC
48,KIAA0020,IFI27,P2RX5,PLEK,CTSC,CCDC146,PYHIN1,POU2F2,TNF,SLC39A10,TNFSF10,ZBP1,RHOC,RP5-1073O3.7,CTNNAL1,PASK,PRDM6,AC006129.4
49,H1FX,TNFRSF18,HLA-DQA2,MYO1F,TGFBR3,LCNL1,RGS1,FCRL5,TMEM40,BDH1,CTD-2368P22.1,AIF1,LAIR2,ZNF808,ACTG1,PRSS23,BCL7A,SEC14L1
50,LMOD3,TIGIT,YBX3,C1orf21,SYNE2,ABCB1,CD69,HLA-DQA2,SCGB3A1,RP11-544A12.8,C16orf54,NEXN,C1orf21,LINC00685,ISG15,NRGN,EAF2,TCF4
51,CSTA,CD84,GAPT,CTSD,APOBEC3G,KIAA0020,SAMD3,PNOC,PTMS,LINC00662,CCDC152,CD69,MATK,KCNQ1OT1,PRDM6,C6orf25,STX7,IRF7
52,RNF219,JUN,STX7,PTGDR,CYBA,CYB5D2,FXYD2,IRF8,CLDN5,RP11-294J22.6,CITED2,HSH2D,ABI3,LIMA1,FXYD2,LPAR6,IRF8,GTF3C1
53,BRD8,NEAT1,GNG7,CEP78,PRSS23,MRPS31,MYO1F,EBF1,GADD45B,DIP2A,RGS18,FAM13A,CD7,YPEL5,TIGIT,TREML1,DONSON,RASGRP3
54,MTRNR2L2,ALOX5AP,BLNK,PYHIN1,ASCL2,TTC16,IER2,OSBPL10-AS1,RGS1,TSPYL2,RGS12,ETV7,CTSC,RP11-108M9.6,CTSC,PRF1,ZEB2,SEL1L3
55,RP11-297N6.4,DDIT4,KIAA0125,MAP3K8,MT2A,KNOP1,CD84,FCGR2B,ZBTB38,SLFN12L,GPR171,SAT1,CX3CR1,ZMYND8,DYNLL1,ZBTB44,FCRL1,SMC4
56,CA2,CAST,CD72,RAMP1,GPR56,MMD,LINC00152,COCH,PRDM1,RP11-473M20.7,SPINK2,HES4,ZEB2,CCDC146,SGOL1,MYOM2,HOPX,PPP1R14A
57,VCAN,PHACTR2,PAX5,NCAM1,CMC1,SMCR5,JAKMIP1,CD1C,BTG2,YES1,HMGN5,GPR171,CCL3,AC016629.8,TPM4,EPSTI1,PAX5,C16orf74
58,IL1B,CITED2,SNX2,PTGDS,MIAT,LINC00685,RUNX3,GAPT,RORA,TBC1D31,KNOP1,CHI3L2,IL2RB,ZNF438,CDKN2A,FGFR1,KLRB1,MEF2C
59,LCN2,PDE4D,CD40,IFITM3,S1PR5,HEMGN,NR4A2,CD19,GABARAPL1,BACH2,ITPRIP,IFITM2,MYOM2,IFITM1,SGOL2,AC144652.1,TCF4,ISG15
60,S100A12,PHLDA1,HHEX,CHST12,DSTN,TKTL1,TSPYL2,CD22,GATA3,ID3,HIST1H2AE,GBP5,CHST12,TIMP1,ARPC5L,AL590452.1,PHACTR1,COBLL1
61,ZNF438,PASK,RP11-164H13.1,NCR3,NEAT1,CCDC171,C12orf75,BASP1,ERLEC1,NDUFAF2,SSBP3,CCDC146,CTSD,RP6-109B7.3,IGFBP7,AP001189.4,GABRE,CADM1
62,ENKUR,CHN1,CD19,GPR56,SYNE1,ENTPD3-AS1,GADD45B,BCL11A,C6orf25,COL6A2,LRMP,BIRC3,ACTG1,SH3BGRL2,GNLY,SH3BGRL2,CYBA,APOBEC3C
63,STMN1,ARL4C,CDCA7L,CTBP2,APMAP,CCDC34,PRDM1,SNX2,AC092580.4,KIAA1377,WBP4,TNFSF13B,S100A6,RP1-313I6.12,SRGN,TTC38,SWAP70,RTKN2
64,CWC22,LINC00152,IGJ,PTPN12,DUSP2,RP11-486G15.2,RAB27A,BLNK,DMTN,CCDC152,MMD,LAG3,SH2D1B,HEMGN,RPL39L,S1PR5,STRBP,ERLEC1
65,SPDL1,DSTN,PCDH9,LAIR2,TBX21,COQ7,STOM,SEL1L3,NDUFAF2,ZMYND8,TKTL1,TNFAIP3,RP11-81H14.2,BACH2,CCL5,CCL3,C1orf21,GAB1
66,RP11-572O17.1,SRGN,MACROD2,SAMD3,CHST12,XXbac-BPG299F13.17,ZNF331,IFT57,HYOU1,AREG,HIST1H2AC,GBP3,DOK2,S100A12,FLNA,MOSPD2,DUSP1,LINC00152
67,TPM1,ATXN1,TCF4,HAVCR2,RORA,ITGB3BP,FAM46C,CXXC5,RCBTB2,MTERFD3,TNFRSF17,FBXO6,GNPTAB,NEXN,YWHAH,NPTN,IL4R,CD81
68,GNG8,CREM,NFKBID,DOK2,CD63,ID2,ARAP2,CTA-250D10.23,GMPR,HIPK2,MOB1B,APOL1,SAMD3,EPHB6,GABRE,LIMA1,NFKBID,RP5-1028K7.2
69,ZMYND8,GADD45G,SMIM14,AOAH,S100A11,RAB13,ZBTB38,EZR,FYN,MTRNR2L8,DERL3,IL32,PLA2G16,RGS1,S100A4,MAP3K7CL,CD40,SOX4
70,CD14,RNF19A,STRBP,CD38,CALR,LRRCC1,TNIP3,TNFRSF13C,PRMT10,XXbac-BPG299F13.17,ITGA1,PRDM6,CHST2,TSPYL2,CCL4,WDR37,FAM26F,RP11-81H14.2
71,BBC3,TNFSF13B,BTK,TNFRSF18,MATK,TTN,ATXN1,CD40,TIMP1,CD247,ID2,KNOP1,GNG2,LARP1B,PLEK,HIST1H2AC,CD83,HIST1H2BK
72,MS4A6A,CFH,DUSP1,NCR1,ADRB2,CITED2,IFNG-AS1,HLA-DOB,RP11-138A9.1,CTC-425F1.4,HIST1H2BK,DONSON,CEP78,RORA,KLRF1,PATL2,FAM129C,MAP3K7CL
73,MTRNR2L8,FOS,TSC22D3,IL18RAP,ANXA2,TPTEP1,TPRG1,CAPG,ESAM,RHOBTB3,ZNF331,SLFN12L,CALR,TTN,FGFBP2,FCER1G,MAP3K8,CD79B
74,CTC-246B18.10,ANKRD28,CYB561A3,FGR,IFI27,TMEM91,CCL4,SMIM14,LAG3,ENTPD3-AS1,H1FX,CD7,PTPN12,KIAA1731,LYAR,CTSW,HLA-DQA2,SAMD9L
75,GPM6B,BTG3,MZB1,GNPTAB,ACTG1,BRD8,SLAMF7,SYK,RP11-138A9.2,NMB,PRMT10,BRD7,ANXA1,RP11-572O17.1,APOBEC3G,HIST1H2AE,CCSER1,PF4
76,AP001189.4,SLC4A7,CTA-250D10.23,ACTG1,PRDM1,IFITM3,MAP3K8,TMEM154,IER3,PTCH1,GPR18,TSHZ2,DSTN,TMEM2,KLRD1,SYNGR1,TSPAN13,DDAH2
77,CD36,CCR10,SPIB,CTSC,CEP78,WBP4,TIPARP,LYPLAL1,LMOD3,GPM6B,TTN,EPHB6,NCR3,MAP7D3,RAB27A,SPRYD7,CXXC5,SBF2
78,IL8,CAPG,POU2F2,TBX21,FCGR3A,METRN,DUSP1,PKIG,PSTPIP2,FAM126B,RNU12,RTKN2,SPN,TMEM181,HAVCR2,B3GAT1,YBX3,BTK
79,THBS1,TSHZ2,PNOC,TPST2,ATG2A,GPX1,LINC00987,BTK,KMT2E-AS1,OSBPL5,BAZ2B,PHACTR2,CD300A,CWC22,ACVR2B,SNCA,CTA-250D10.23,CAPG
80,HNRNPH1,CD58,RNASE6,ABI3,RP11-81H14.2,AC092580.4,TIGIT,DDAH2,ARL4C,KIR2DL2,LMOD3,BRCA2,SYTL3,HIST1H1E,APOBEC3H,PIGS,LY86,DAAM1
81,RGS12,MIAT,COL19A1,ABHD17A,DOK2,PRR5,MATK,PAX5,AC016629.8,HEMGN,MLH3,TMIGD2,TBX21,SPRY1,CTSW,PYHIN1,TYROBP,KIAA0101
82,HIPK2,ADAM19,SNX22,CX3CR1,C5orf56,HMGN5,PIP4K2A,NFKBID,RP1-313I6.12,CTD-2368P22.1,PIK3CG,RP11-796E2.4,SYNGR1,RP11-796E2.4,SPON2,FCGR3A,PKIG,TMEM156
83,AC147651.3,KRT1,PDLIM1,GNG2,CRIP1,KCNQ1OT1,PTMS,RASGRP3,MIAT,SIGLEC7,ZNF438,GPRIN3,FGR,BRD8,ITGB3BP,SSBP3,CD19,BLNK
84,RBP7,AC006369.2,C16orf74,FCRL6,MRPL10,KLRK1,TNF,DAPP1,KIF21A,S100B,SDR42E2,TMEM140,FLNA,RP1-3J17.3,EFHD2,CMTR2,ORAI2,E2F5
85,RAB32,SPATS2L,STAP1,SIGLEC7,GNG2,ZNF331,FAM129A,FGD2,KCNQ1OT1,MOSPD2,RETN,ACVR2B,CISD3,FAM178A,GNG2,RAP2A,LAT2,ZBP1
86,MOB1B,IFITM1,ORAI2,LGALS1,ARPC5L,RP11-446N19.1,CBLB,KLK1,RP11-108M9.6,KIAA1731,S100A9,FAM46A,PTGDR,HIST1H4C,APOBEC3C,NF1,FCER1G,HBA2
87,CHI3L2,TNF,TNFRSF13C,ARPC5L,TPST2,C11orf21,SYTL2,EAF2,GZMH,LMOD3,TMEM2,SYNE2,CD244,MOB1B,SAMD3,CLIC3,MYO1F,PRDM1
88,KIAA1731,DONSON,FCRL5,GSN,A2M-AS1,RP11-727F15.9,SYTL3,RGS2,TMEM107,WBP4,CENPF,CD84,MT2A,GBP1,CMC1,ANKRD28,FCRL6,MIR4435-1HG
89,TCEAL4,ANKRD32,REL,C12orf75,ISG15,RNF219,DNAJC1,CYSLTR1,GAS2L1,IER3,GADD45G,C1orf131,APOBEC3G,HES4,SPN,GBP4,PPAPDC1B,ITGB1
90,CLEC12A,EZR,ARHGAP24,SYNGR1,PLA2G16,ZMYND8,MT1E,MZB1,RP11-47L3.1,ITM2A,WDR66,ARID5B,SLAMF7,SLFN13,BARD1,FCRL6,SMIM14,DNAJC1
91,SMIM5,AC013264.2,BLK,TLN1,JAKMIP1,GBP1,MRPL10,SETBP1,CES1,B3GAT2,DDIT4,WBP4,TPST2,SLFN12L,ANXA1,TUBB1,RP11-693J15.5,SPIB
92,G0S2,TNFRSF1B,EBF1,SYTL3,RUNX3,PROCR,KIF21A,ORAI2,DDIT4,PILRB,ZMYND8,ZFP36L2,C5orf56,VIM-AS1,XCL2,MFAP1,JUN,FXYD2
93,TTF1,ATG2A,KIAA0226L,SPN,SPN,ZNF667,IFNGR1,MTSS1,AC006369.2,CTNNB1,RBP7,BDH1,F2R,KIF1B,PYHIN1,PRDM1,POU2F2,ANXA4
94,LINC00989,BATF,SNX29,HSH2D,C20orf24,AP000476.1,ALOX5AP,SKAP2,EIF1AY,PTCRA,S100A8,AC013264.2,C20orf24,LST1,CYBA,RP11-572O17.1,S1PR5,RP11-367G6.3
95,HBG2,PDE4B,ICOSLG,IFITM1,ZBTB38,PTCH1,RNF19A,HERPUD1,SRGN,ZNF595,HIST1H2BN,LPAR6,ABHD17A,S100A9,CALR,RP11-81H14.2,TSC22D3,CD40
96,HIST1H2AE,DUSP10,RASGRP3,APOBEC3G,PPP2R2B,WDR60,MAF,CD180,CTTN,CTAGE5,ZNF528,SCLT1,HAVCR2,LMOD3,S100A11,CMTM5,SRGN,CLIC4
97,HIST1H2BJ,YWHAH,TMEM156,RUNX3,SLAMF7,RP6-91H8.3,IL18R1,STX7,SMOX,B4GALT4,DPYSL2,MRPS31,ARPC5L,CA2,GBP1,RAP1GAP2,TNFRSF13C,MCUR1
98,HES4,B3GAT2,COBLL1,S100A4,FYN,PDE6G,NEAT1,TMEM156,IER2,HIST1H4H,NCOA4,TIGIT,STOM,CTC-246B18.10,LGALS3,B3GAT2,AFF3,PRSS23
99,RP11-727F15.9,NFKBIA,CD69,TMIGD2,TTC38,ZNF528,GTF3C1,CYB561A3,DSTN,LINC00893,RP3-395M20.12,QKI,ALOX5AP,HIST1H4H,CD63,AKR1C3,MTSS1,NUSAP1
100,SMCR5,FOXP3,RAB30,ZFP36,ABI3,LINC00662,COL6A2,FAM129C,BDH1,BNC2,NFYB,TCEAL4,CTBP2,C1orf131,ACTN4,DIP2A,C12orf75,HLA-DRB5
101,IGSF6,DYNLL1,FCRL2,ITGAM,SYTL3,C1orf131,ADRB2,CNFN,ZNF331,PAFAH2,YES1,CCDC152,DTHD1,RNF11,SPATS2L,GPM6B,PLEKHA2,HSH2D
102,C4orf27,TIPARP,CD200,CD244,RAB27A,SYT5,CHN2,HVCN1,TMEM140,CEP290,RNF219,H1FX,TGFBR3,FAM126B,C20orf24,PLEKHA1,MCTP2,GADD45A
103,TPTEP1,MAP4,LYN,CEBPD,F2R,LIMA1,ABCB1,HHEX,PTCH2,RNF219,CEP57L1,ICA1,IL32,KMT2E-AS1,CISD3,SCGB3A1,GPR56,DDX3Y
104,CLEC1B,ZFYVE28,ARL4A,GPR65,CD320,CWC22,BTG3,AFF3,SYNE2,IL8,MTMR12,GABRE,STARD3NL,CPEB4,FCGR3A,CFH,CD63,MARCKS
105,PBX1,STAT1,FCGR2B,C5orf56,PROK2,RP11-294J22.6,FOSL2,PHACTR1,MTERFD3,AKAP5,TSC22D1,MIR181A1HG,PLEKHF1,RP11-473M20.7,CEP78,A2M-AS1,LYN,C2orf88
106,SPINK2,CD226,CHPT1,ALOX5AP,CX3CR1,LMOD3,CD160,CYBB,GADD45G,RP11-572O17.1,SBK1,CYSLTR1,IFITM1,MICU1,HOPX,HIRA,GAPT,HIST1H4C
107,HIST2H2BE,PRDM6,PDE4B,CATSPER1,OASL,NOC3L,PLA2G16,RHOB,TTC16,ZBTB44,CPEB4,NOC3L,AGTRAP,RP11-85F14.5,IFI6,ESR2,RHOC,APOBEC3G
108,PDZK1IP1,DUSP1,QRSL1,ZEB2,PTPN7,SBK1,NFKBIA,LYN,TPM1,BOK,RIN3,CROT,TLN1,LINC00910,ABI3,RP11-294J22.6,EBF1,TNFRSF18
109,RP5-1092A3.4,SDR42E2,BTLA,GFOD1,ABHD17A,SLC2A14,ARHGAP26,CHPT1,SERTAD1,TTN,SLC16A4,NF1,S100A11,TMEM120B,HCST,GPR56,LGALS1,C16orf87
110,KIAA1009,GBP5,LAT2,PLA2G16,MYBL1,SYNGR1,DDIT4,GGA2,COL6A2,TNFRSF1A,CCDC171,PASK,AOAH,IL32,CD247,PTGDR,CHST12,PLA2G16
111,RP11-294J22.6,RGS16,JUN,MAPK1,ATP2B4,HNRNPH1,CDC42EP3,METTL7A,CD84,SYTL2,CD14,TARS,LINC00152,F13A1,SPDL1,F2R,P2RX5,CDKN2A
