"Sample_ID","lymp_ct_cov","coefficient","cell_count"
"1004_1004","Bmem",0,1
"1004_1004","MKcontam",0,15
"1004_1004","NK CD56bright",0,1
"1004_1004","NK CD56dim",0,1
"1004_1004","NKT",0,3
"1004_1004","Progenitor",0,2
"1004_1004","T4cm",0,113
"1004_1004","T4IFN",0,7
"1004_1004","T4naive",0,96
"1004_1004","T4reg",0,16
"1004_1004","T8cm",0,21
"1004_1004","T8em cyto1",0,44
"1004_1004","T8em cyto2",0,14
"1004_1004","T8em MAIT",0,1
"1004_1004","T8naive",0,59
"1004_1004","TProlif",0.0473684210526315,40
"1014_1014","Bmem",0,1
"1014_1014","Bplasma",0,1
"1014_1014","MKcontam",0,11
"1014_1014","NK CD56dim",0,4
"1014_1014","NKT",0,5
"1014_1014","Progenitor",0,3
"1014_1014","T4cm",0,54
"1014_1014","T4IFN",0,6
"1014_1014","T4naive",0,22
"1014_1014","T4reg",0,12
"1014_1014","T8cm",0.15,12
"1014_1014","T8em cyto1",0.285942279558452,206
"1014_1014","T8em cyto2",0.110909090909091,25
"1014_1014","T8em MAIT",0,7
"1014_1014","T8naive",0,20
"1014_1014","TProlif",0,2
"1019_1019","Bmem",0,1
"1019_1019","Bnaive",0,12
"1019_1019","MKcontam",0,32
"1019_1019","NK CD56bright",0,1
"1019_1019","NK CD56dim",0,14
"1019_1019","Progenitor",0,1
"1019_1019","T4cm",0,123
"1019_1019","T4IFN",0,3
"1019_1019","T4naive",0,222
"1019_1019","T4reg",0,20
"1019_1019","T8cm",0,33
"1019_1019","T8em cyto1",0,10
"1019_1019","T8em cyto2",0,19
"1019_1019","T8em MAIT",0.0818181818181818,11
"1019_1019","T8naive",0,31
"1019_1019","TProlif",0,2
"1045_1045","Batypical",0,1
"1045_1045","Bmem",0,6
"1045_1045","Bnaive",0,7
"1045_1045","MKcontam",0,3
"1045_1045","NK CD56dim",0,2
"1045_1045","NKT",0,6
"1045_1045","Progenitor",0,1
"1045_1045","T4cm",0,38
"1045_1045","T4IFN",0,19
"1045_1045","T4naive",0,5
"1045_1045","T4reg",0,6
"1045_1045","T8cm",0,9
"1045_1045","T8em cyto1",0.142391376671768,133
"1045_1045","T8em cyto2",0.0256045519203414,38
