"gini","sample","batch","cell_count"
0.00606015262606621,"1004_1004","lupus7.13",164
0.249601381876163,"1014_1014","lupus7.13",284
0.0117613310384395,"1019_1019","lupus7.13",84
0.102944280287041,"1045_1045","lupus7.13",206
0,"1051_1051","lupus7.13",79
0,"1054_1054","lupus7.13",160
0.0973847482918402,"1078_1078","lupus7.13",119
0.0209717952315955,"900033200_900033200","lupus7.13",283
0.0416761385163295,"900034200_900034200","lupus7.13",166
0.0266255064634382,"901347200_901347200","lupus7.13",73
0.0547169811320755,"903648200_903648200","lupus7.13",106
0.035852646143203,"903884200_903884200","lupus7.13",245
0,"IGTB1372","lupus7.13",77
0.0146992311171417,"IGTB1540","lupus7.13",134
0.0252661568451042,"IGTB1650","lupus7.13",117
0,"IGTB670","lupus7.13",106
0.00952203136669152,"1056_1056","lupus7.19",104
0.0693851602942513,"1110_1110","lupus7.19",154
0,"1127_1127","lupus7.19",74
0,"1132_1132","lupus7.19",97
0,"1196_1196","lupus7.19",60
0.0273440059405508,"1203_1203","lupus7.19",217
0.0582329317269077,"900903200_900903200","lupus7.19",83
0.22507823656306,"902692200_902692200","lupus7.19",207
0,"904194200_904194200","lupus7.19",199
0.0478712464006582,"904405200_904405200","lupus7.19",143
0,"904463200_904463200","lupus7.19",153
0,"904464200_904464200","lupus7.19",177
0.0163841807909605,"IGTB1540","lupus7.19",60
0,"IGTB1650","lupus7.19",76
0.0169388989715668,"IGTB195","lupus7.19",58
0,"IGTB498","lupus7.19",52
0.15546218487395,"1195_1195","lupus7.20",17
0.0277310924369748,"1197_1197","lupus7.20",35
0.0217171717171717,"1219_1219","lupus7.20",45
0.041501976284585,"1221_1221","lupus7.20",23
0.0390740740740741,"1243_1243","lupus7.20",75
0.0269841269841269,"1250_1250","lupus7.20",36
0.204433497536946,"900216200_900216200","lupus7.20",112
0,"900598200_900598200","lupus7.20",53
0,"901911200_901911200","lupus7.20",23
0.0217171717171717,"903398200_903398200","lupus7.20",45
0.021256038647343,"904033200_904033200","lupus7.20",46
0.152319902319902,"904236200_904236200","lupus7.20",63
0,"IGTB143","lupus7.20",14
0,"IGTB1506","lupus7.20",17
0,"IGTB195","lupus7.20",19
0,"IGTB498","lupus7.20",25
0.0769666100735711,"1251_1251","lupus7.26",62
0.0617636867636868,"1259_1259","lupus7.26",111
0.0802880288028803,"1262_1262","lupus7.26",110
0.157857142857143,"1270_1270","lupus7.26",100
0.0373504273504274,"1279_1279","lupus7.26",156
0.112578616352201,"1297_1297","lupus7.26",60
0.0316606929510155,"1338_1338","lupus7.26",93
0.135021097046414,"900358200_900358200","lupus7.26",158
0.0374928774928775,"902289200_902289200","lupus7.26",234
0.166917293233083,"904007200_904007200","lupus7.26",70
0.0709617180205415,"904425200_904425200","lupus7.26",68
0.11020461020461,"904477200_904477200","lupus7.26",132
0,"IGTB143","lupus7.26",98
0,"IGTB1506","lupus7.26",30
0,"IGTB884","lupus7.26",23
0.020826259196378,"IGTB986","lupus7.26",95
0.182839173405211,"1567_1567","lupus8.16",53
0,"1582_1582","lupus8.16",10
0,"1584_1584","lupus8.16",23
0.0858585858585859,"1597_1597","lupus8.16",33
0,"1614_1614","lupus8.16",22
0,"1623_1623","lupus8.16",15
0,"1731_1731","lupus8.16",15
0,"1760_1760","lupus8.16",26
0.0509652509652509,"1775_1775","lupus8.16",37
0,"900759200_900759200","lupus8.16",21
0.0994694960212201,"901560200_901560200","lupus8.16",29
0,"IGTB1539","lupus8.16",5
0.088888888888889,"IGTB1575","lupus8.16",10
0,"IGTB514","lupus8.16",21
0,"IGTB645","lupus8.16",5
0.105072944297082,"1641_1641","lupus8.17",260
0,"1660_1660","lupus8.17",48
0.0477429910017104,"1667_1667","lupus8.17",119
0.00989898989898994,"1672_1672","lupus8.17",100
0.0253036437246963,"1682_1682","lupus8.17",78
0,"1827_1827","lupus8.17",64
0,"1848_1848","lupus8.17",49
0.0361222599567768,"1891_1891","lupus8.17",82
0.0178451178451178,"1892_1892","lupus8.17",55
0.0665188470066519,"900260200_900260200","lupus8.17",44
0.0277310924369748,"900373200_900373200","lupus8.17",35
0.159148550724638,"904025200_904025200","lupus8.17",115
0,"IGTB1290","lupus8.17",39
0,"IGTB256","lupus8.17",65
0.0140786749482402,"IGTB514","lupus8.17",70
0,"IGTB645","lupus8.17",39
0.0984969619443555,"1741_1741","lupus8.23",59
0,"1743_1743","lupus8.23",21
0.0972222222222223,"1754_1754","lupus8.23",18
0.138486312399356,"1763_1763","lupus8.23",27
0.0338118022328549,"1767_1767","lupus8.23",57
0.0140786749482402,"1768_1768","lupus8.23",70
0.152380952380952,"1771_1771","lupus8.23",42
0.0497076023391813,"1791_1791","lupus8.23",19
0,"1958_1958","lupus8.23",23
0.181970884658455,"1961_1961","lupus8.23",47
0.301717408274785,"900556200_900556200","lupus8.23",61
0.0551470588235294,"900805200_900805200","lupus8.23",17
0,"IGTB1290","lupus8.23",7
0,"IGTB1542","lupus8.23",27
0,"IGTB1921","lupus8.23",12
0,"IGTB256","lupus8.23",26
0,"IGTB141","lupus8.9",12
0.107142857142857,"IGTB1539","lupus8.9",8
0,"IGTB1575","lupus8.9",12
0,"IGTB826","lupus8.9",4
