,Batypical,Bmem,Bnaive,Bplasma,MKcontam,NK CD56bright,NK CD56dim,NKT,Progenitor,T4IFN,T4cm,T4naive,T4reg,T8cm,T8em MAIT,T8em cyto1,T8em cyto2,T8naive,TProlif,cell_type
HES4,-0.015250083059072495,-0.004790038801729679,-0.02277006208896637,0.0862121656537056,-0.013315148651599884,0.028017843142151833,0.10851457715034485,0.22985893487930298,0.02403281256556511,0.1504075825214386,-0.023472467437386513,-0.00631010951474309,-0.0026202991139143705,-0.02715965546667576,-0.04176938161253929,-0.005716105457395315,-0.02864564210176468,-0.04286622256040573,0.07730283588171005,all
ISG15,0.31529316306114197,-0.1161746010184288,-0.1098448783159256,0.9404758810997009,-0.2571328282356262,0.22193080186843872,0.2838241159915924,0.21986816823482513,-0.1288716346025467,1.3745644092559814,0.049270398914813995,-0.28656232357025146,0.029370611533522606,-0.11652276664972305,0.020365117117762566,0.2842491865158081,0.0323236845433712,-0.10126130282878876,0.8631669878959656,all
TNFRSF18,0.1437595933675766,-0.1253053992986679,-0.08844290673732758,0.6741018295288086,-0.07760562747716904,1.4327012300491333,0.45510709285736084,0.2896501421928406,-0.18220317363739014,-0.07047998160123825,0.18880556523799896,-0.14348472654819489,-0.016224440187215805,-0.10117318481206894,-0.11141285300254822,-0.10074581950902939,-0.13563553988933563,-0.1434994637966156,0.07086718827486038,all
TNFRSF4,0.04912741482257843,-0.15449950098991394,-0.12390469759702682,-0.25197935104370117,-0.09722232073545456,0.22659189999103546,0.07321881502866745,0.022816022858023643,-0.15093094110488892,-0.03985223546624184,0.6479290723800659,-0.14248891174793243,0.1787533015012741,-0.026286467909812927,-0.06292952597141266,-0.11219030618667603,-0.10439205914735794,-0.16605062782764435,-0.05296716466546059,all
MIB2,0.13002508878707886,-0.1675620675086975,-0.1719588339328766,-0.09720273315906525,-0.043196842074394226,0.3710436522960663,0.44038936495780945,0.31576982140541077,-0.05867543816566467,-0.07500598579645157,-0.047228679060935974,-0.09479980915784836,-0.06280024349689484,-0.028254423290491104,0.06967923045158386,0.12822847068309784,0.0549425333738327,-0.06981674581766129,0.24117454886436462,all
MMP23B,0.12301909923553467,-0.09054525196552277,-0.11370749771595001,-0.13318748772144318,-0.032814882695674896,0.10062383115291595,0.48249587416648865,0.3578190505504608,-0.0693320706486702,-0.06753215938806534,-0.07509183138608932,-0.09540963172912598,-0.07209880650043488,-0.03911590203642845,-0.0018989236559718847,0.1280634105205536,-0.036615531891584396,-0.07639984786510468,0.10743309557437897,all
PLCH2,-0.03415090963244438,-0.021804196760058403,0.026599619537591934,0.02367994375526905,-0.0033276937901973724,0.22969689965248108,0.047916751354932785,0.023101599887013435,-0.00761815020814538,-0.022007707506418228,-0.009640281088650227,-0.0325113870203495,0.010691690258681774,-0.01969013921916485,0.01236097514629364,0.0018833796493709087,0.012668504379689693,-0.035639021545648575,-0.0175589919090271,all
RP3-395M20.12,0.14119669795036316,-0.05482536926865578,-0.036975227296352386,-0.13638903200626373,-0.02105778641998768,0.036543481051921844,0.15145240724086761,0.11470285058021545,0.025556722655892372,-0.002155464142560959,-0.0055375718511641026,-0.043566424399614334,-0.001785527216270566,-6.87169304001145e-05,-0.053955934941768646,0.05185043811798096,-0.010173480957746506,-0.01986171491444111,0.013848356902599335,all
UTS2,0.15257860720157623,-0.08654788136482239,-0.10923801362514496,0.45657792687416077,-0.06077982485294342,0.23372013866901398,0.21903754770755768,0.06946296244859695,-0.13038863241672516,-0.016011208295822144,0.004195886198431253,-0.11074744164943695,0.0250405166298151,-0.02539813704788685,0.01045178435742855,0.17023926973342896,0.0740543082356453,-0.05389722064137459,0.23329611122608185,all
RBP7,-0.08454503864049911,-0.01368668396025896,0.00011499267566250637,0.057362210005521774,-0.006665713619440794,0.011827058158814907,0.007680681999772787,0.017226094380021095,0.037361256778240204,0.009775533340871334,0.00025409870431758463,0.006209935527294874,-0.014374437741935253,-0.01599223166704178,-0.00934583880007267,0.0015155301662161946,0.006590870674699545,-0.01016272697597742,-0.031252674758434296,all
KIF1B,0.10828652232885361,-0.006314980331808329,-0.04627484455704689,0.08238460123538971,-0.02300325408577919,0.019185854122042656,0.04915944114327431,0.03157131373882294,-0.03195105865597725,-0.009841438382863998,0.01854880340397358,-0.03512151539325714,0.008758697658777237,0.0009433330851607025,0.002685926854610443,0.07654064148664474,0.05726723000407219,-0.055110663175582886,0.02158510871231556,all
CASZ1,0.1581493616104126,0.000910658563952893,0.02284199371933937,-0.03401792049407959,-0.018279097974300385,0.024619093164801598,0.06588976085186005,0.04249516502022743,-0.037060271948575974,-0.021639006212353706,-0.027217049151659012,-0.05137668177485466,-0.01896659843623638,-0.013628249987959862,-0.021524552255868912,0.07553815096616745,0.025927383452653885,-0.048987049609422684,0.09335702657699585,all
FBXO6,0.131868377327919,-0.049796298146247864,-0.06872764974832535,0.17307241261005402,-0.07704821974039078,0.18163232505321503,0.3854025900363922,0.3155817985534668,-0.07470936328172684,0.06162375211715698,-0.07700859010219574,-0.11846151947975159,-0.07607898116111755,-0.031097372993826866,0.04436078667640686,0.13347335159778595,-0.014881877228617668,-0.09570857882499695,0.37546268105506897,all
DRAXIN,0.03429269418120384,-0.04654426500201225,-0.036758266389369965,0.02053952030837536,0.015639865770936012,0.03322550281882286,0.1535199135541916,0.12355484068393707,-0.008301788941025734,-0.02279553934931755,-0.021658655256032944,-0.01889173872768879,-0.023339807987213135,-0.016399521380662918,-0.011295795440673828,0.023265860974788666,-0.029151178896427155,-0.018811717629432678,0.057608090341091156,all
AGTRAP,0.1118951290845871,-0.13815194368362427,-0.14807665348052979,-0.08834455907344818,-0.05120369791984558,0.05100126564502716,0.4818176329135895,0.39087292551994324,0.00012632232392206788,-0.042886365205049515,-0.061546918004751205,-0.09195268899202347,-0.0798325464129448,-0.036312002688646317,0.04573940858244896,0.16313479840755463,0.004403376951813698,-0.11250944435596466,0.24217449128627777,all
PLOD1,0.12676331400871277,-0.03451161831617355,-0.03485622629523277,0.34646010398864746,-0.0067701698280870914,0.030311929062008858,0.21467658877372742,0.16488471627235413,-0.03352716192603111,-0.028001395985484123,-0.041352346539497375,-0.046203918755054474,-0.032564058899879456,-0.010069245472550392,-0.05220217630267143,0.06598015129566193,-0.03765508159995079,-0.04395854473114014,0.1311551332473755,all
TNFRSF1B,0.15587055683135986,0.014881385490298271,-0.14416751265525818,-0.15004929900169373,-0.06727530807256699,-0.03493838757276535,0.24000507593154907,0.2157931923866272,-0.16739040613174438,-0.07364850491285324,0.0725167915225029,-0.13016535341739655,0.0939011499285698,-0.011751484125852585,0.02105221524834633,0.23243197798728943,0.05430738627910614,-0.18277552723884583,0.24775806069374084,all
EFHD2,0.5328347086906433,-0.19393746554851532,-0.27005186676979065,0.20073500275611877,-0.10657918453216553,0.3746410608291626,1.0263879299163818,0.7886879444122314,-0.23918427526950836,-0.17291423678398132,-0.15912827849388123,-0.2525087594985962,-0.21032807230949402,-0.07959570735692978,0.027961349114775658,0.4655105769634247,-0.1319306194782257,-0.2373136729001999,0.5069211721420288,all
RP11-108M9.6,0.12909577786922455,-0.05577436834573746,-0.020981259644031525,-0.19322022795677185,-0.0053406087681651115,-0.00067674252204597,0.015841076150536537,0.03089885786175728,-0.005679345224052668,-0.0191374309360981,0.030662380158901215,-0.031003667041659355,-0.0010542039526626468,0.03749074414372444,0.05037035048007965,0.03419967740774155,0.05824824422597885,-0.026533233001828194,-0.0010962430387735367,all
EIF4G3,0.1550573855638504,0.06964907795190811,0.06543498486280441,0.1958490014076233,-0.05089268460869789,-0.006622946355491877,0.1808411180973053,0.17929628491401672,-0.07152214646339417,-0.04607555270195007,-0.05965111404657364,-0.09274556487798691,-0.08172772079706192,-0.05014767870306969,-0.050469521433115005,0.09152562916278839,-0.01456952840089798,-0.08576111495494843,0.11202732473611832,all
