,Batypical,Bmem,Bnaive,Bplasma,MKcontam,NK CD56bright,NK CD56dim,NKT,Progenitor,T4IFN,T4cm,T4naive,T4reg,T8cm,T8em MAIT,T8em cyto1,T8em cyto2,T8naive,TProlif,cell_type
HES4,-0.015250085853040218,-0.004790101666003466,-0.02277008444070816,0.08621218800544739,-0.013315152376890182,0.028017818927764893,0.10851524770259857,0.22985893487930298,0.02403278648853302,0.1504075825214386,-0.023472348228096962,-0.006310060154646635,-0.002620301442220807,-0.02715965360403061,-0.0417693629860878,-0.005716081243008375,-0.028645705431699753,-0.04286634922027588,0.07730283588171005,all
ISG15,0.3152935206890106,-0.11617443710565567,-0.10984478890895844,0.9404757618904114,-0.25713223218917847,0.2219308465719223,0.2838234007358551,0.21986767649650574,-0.12887173891067505,1.374562382698059,0.0492708794772625,-0.28656265139579773,0.02937081642448902,-0.11652266979217529,0.020365213975310326,0.2842501401901245,0.03232365474104881,-0.10126110166311264,0.8631661534309387,all
TNFRSF18,0.1437595784664154,-0.12530507147312164,-0.0884428471326828,0.6741015911102295,-0.07760549336671829,1.432701826095581,0.45510798692703247,0.28965041041374207,-0.18220296502113342,-0.07048013806343079,0.18880437314510345,-0.14348481595516205,-0.016224408522248268,-0.1011732667684555,-0.11141300201416016,-0.100746288895607,-0.13563600182533264,-0.14349983632564545,0.07086724787950516,all
TNFRSF4,0.04912753030657768,-0.15449905395507812,-0.12390472739934921,-0.2519793212413788,-0.09722260385751724,0.22659164667129517,0.07321874052286148,0.022816050797700882,-0.15093094110488892,-0.03985216096043587,0.647929310798645,-0.14248895645141602,0.17875351011753082,-0.026286456733942032,-0.06292945891618729,-0.112190380692482,-0.10439188033342361,-0.16605022549629211,-0.052967168390750885,all
MIB2,0.13002508878707886,-0.16756217181682587,-0.1719595193862915,-0.09720272570848465,-0.043196819722652435,0.3710436522960663,0.44038835167884827,0.3157704770565033,-0.05867546796798706,-0.07500593364238739,-0.04722846671938896,-0.09479986876249313,-0.0628003478050232,-0.028254490345716476,0.06967906653881073,0.12822824716567993,0.05494258552789688,-0.06981643289327621,0.24117498099803925,all
MMP23B,0.12301905453205109,-0.09054553508758545,-0.11370737105607986,-0.1331874579191208,-0.03281484916806221,0.10062363743782043,0.48249468207359314,0.3578186333179474,-0.06933218985795975,-0.06753215938806534,-0.07509207725524902,-0.09540997445583344,-0.07209881395101547,-0.03911583870649338,-0.001898941001854837,0.12806273996829987,-0.036615654826164246,-0.07639987766742706,0.1074332520365715,all
PLCH2,-0.034150902181863785,-0.02180427312850952,0.02659979648888111,0.023679960519075394,-0.0033276972826570272,0.22969608008861542,0.04791659861803055,0.023101618513464928,-0.007618131581693888,-0.022007685154676437,-0.0096402857452631,-0.03251129016280174,0.010691690258681774,-0.019690141081809998,0.012360949069261551,0.0018833749927580357,0.012668474577367306,-0.03563915193080902,-0.017558949068188667,all
RP3-395M20.12,0.14119666814804077,-0.0548255629837513,-0.036975130438804626,-0.13638903200626373,-0.021057898178696632,0.036543410271406174,0.15145200490951538,0.1147027462720871,0.025556698441505432,-0.002155470661818981,-0.00553754810243845,-0.043566491454839706,-0.001785519765689969,-6.86810162733309e-05,-0.0539558120071888,0.05185052379965782,-0.010173439048230648,-0.01986170932650566,0.013848377391695976,all
UTS2,0.15257862210273743,-0.08654797077178955,-0.1092376783490181,0.45657792687416077,-0.06078000366687775,0.23371993005275726,0.21903777122497559,0.06946300715208054,-0.13038858771324158,-0.016011247411370277,0.004195937886834145,-0.11074630171060562,0.025040684267878532,-0.025398118421435356,0.01045168936252594,0.17023906111717224,0.07405460625886917,-0.05389728397130966,0.23329640924930573,all
RBP7,-0.08454503864049911,-0.013686620630323887,0.00011500285472720861,0.05736219510436058,-0.0066657173447310925,0.011827019974589348,0.007680637761950493,0.017226047813892365,0.03736129775643349,0.009775491431355476,0.0002540978603065014,0.006209930405020714,-0.01437439862638712,-0.015992220491170883,-0.00934583693742752,0.0015155409928411245,0.006590866018086672,-0.01016271859407425,-0.031252626329660416,all
