,B atypical,B memory,B naive,MK contam,NK1,NK2,NK3,Plasmablast,Progenitor,Prolif T,T4 IFN,T4 memory,T4 naive,T4 regulatory,T8 cyto1,T8 cyto2,T8 cyto3,T8 memory,T8 naive,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
B atypical,1.0,0.44554139979247764,0.5565474897538942,-0.5650353474384743,0.13731845644903382,-0.002728482285619014,0.07429032228481816,0.06397410990900704,-0.3503445271357967,-0.16569431497682613,-0.291635217789912,-0.5151453184410476,-0.766014300563159,-0.42312606074867887,0.07333817570314176,-0.21558982148206957,-0.1633200787307095,-0.4356372631904278,-0.6011956525384208,-0.1939146053913759,0.12407336065563382,-0.1343199034803055,-0.3953872398298999,0.5703772880373331,-0.516248434680598,0.1940539401153905,-0.4114268583329322,-0.7150503607646134,-0.2363461487383017,0.028318648156323522,-0.15079357407749328,0.4402447981612739,-0.17929553423784572,-0.39170072887791707,-0.05651985152550637,0.3142869289416045,0.03968516691215098,-0.24239465911151553,0.4413858268342249,-0.008582066233284497,0.17196683614503466,0.13023223626388725,-0.15120444636375363,-0.05107765556375589,-0.39131473982621007,-0.5915854917810566,0.04931411642098821,0.47432781969985854,-0.018404507685094884
B memory,0.44554139979247764,1.0,0.8099997466985344,-0.3555586715294987,-0.5075792095593514,-0.3367324539033603,-0.3713529538315873,0.2634547612020788,-0.11515086226011254,-0.27159498661636666,-0.18335372986156231,-0.34822622900740513,-0.1851498485808346,-0.15375846912685853,-0.5328845957355425,-0.47514616871199505,-0.45877225233295144,-0.45719543412088615,-0.31481934779909054,0.07330974463742726,-0.49157753081537814,0.07610283537596402,-0.30281445299619736,0.7539376323011561,-0.21301035615996272,-0.4770037283764725,-0.2862122376107903,-0.08915743942447447,-0.07957471405162331,-0.00021399858881395587,-0.39838727168245386,0.8799000642593408,-0.004591387486503449,-0.15883838432843803,-0.40570873977022925,0.13965018395586745,-0.33059194629071215,-0.30796639513832147,0.7045739803574249,-0.105285860867012,0.22415022930351813,-0.0024716826164501906,-0.3084822516608149,-0.09360269066090696,-0.11604428052962132,-0.19622294656044853,0.18627351303158968,0.4154712291588919,-0.08641423380929893
B naive,0.5565474897538942,0.8099997466985344,1.0,-0.3405448345101385,-0.5959941905745539,-0.37696251656698715,-0.45088961605015654,0.1569544454738861,-0.07367208753823754,-0.2644065794234478,-0.15553139241112413,-0.3688953883533665,-0.15728328561336533,-0.1701990175370183,-0.634569914525677,-0.5051571984115538,-0.487241884683635,-0.46494432560324794,-0.2526371967307813,0.06989007209232324,-0.5778461551385112,0.062930769646046,-0.3206103392452376,0.9538596055835588,-0.17363781435247327,-0.5584777939667291,-0.22473333061006243,-0.059145938031392044,-0.0868787637712869,-0.02183948881075951,-0.4226656787253283,0.7152714505571457,-0.0028162062904326327,-0.16148137082005798,-0.4276782989762238,0.13058949990975036,-0.3669398020574487,-0.2815634248878907,0.6345097901763238,-0.08155343369359754,0.2037932556192905,-0.012963669495873261,-0.2997706485119503,-0.09395088408874538,-0.10148033004632825,-0.16578996405891336,0.09138647308935607,0.5689236250608989,-0.036828789081358226
MK contam,-0.5650353474384743,-0.3555586715294987,-0.3405448345101385,1.0,-0.003991205374774216,0.0368419097164572,-0.038250989086515925,-0.13485451812114188,0.2982188693756197,-0.12348298938860133,0.09025524963504829,0.20530875694675094,0.6487629732857342,0.2264066387025535,-0.1749069393695782,-0.034358776542178476,0.07145248633753148,0.22267085248268612,0.4810349971654072,0.036133846985527705,-0.15768755820590022,-0.019213186529385157,0.24999018098259654,-0.3107322558274277,0.4904058387330849,-0.027967175744353166,0.4199918509791703,0.5401175849109265,0.1261693783536281,-0.06287901456484436,0.011530488194128406,-0.2897991625797156,0.039558738526443385,0.13171252730368666,0.08297775799543494,-0.17557954456096553,0.009418418970702579,0.26587178273379997,-0.36992117274829317,0.35682890232848535,-0.07651593035493418,-0.16024819751133648,-0.10214357180772464,0.11673879087176448,0.3287271270249963,0.496076973705568,-0.06448349274914196,-0.1434637953465393,0.07969775969784518
NK1,0.13731845644903382,-0.5075792095593514,-0.5959941905745539,-0.003991205374774216,1.0,0.5148441623470227,0.6006661118988581,-0.07165787509934285,-0.1743765516691657,0.21940512730306022,-0.15291911896658575,-0.21375016360159843,-0.3784561255299734,-0.24070848217755422,0.5560359705488989,0.06077468575409245,0.22677425952555702,0.03517928808549351,-0.21488735133973022,-0.13259324550184953,0.5329097459773595,-0.09159618372127251,-0.17343326137392492,-0.552886402712567,-0.267790975915638,0.9502313525504363,-0.1582889683898021,-0.4882552084317039,-0.020521512675054324,0.1349070141913067,0.031606118481701855,-0.44532929968243506,-0.07514069199997217,-0.2577137768716007,0.2349735735505717,0.10433199781115725,0.4953846932994831,-0.04375801380468151,-0.35047560925897125,0.14747830099914527,-0.03551432591167611,0.17608955211205848,0.19479494024549274,0.03132789285710792,-0.24109286424410672,-0.34476374542477745,-0.06671376125471636,-0.23329181826955542,0.04108502197162214
NK2,-0.002728482285619014,-0.3367324539033603,-0.37696251656698715,0.0368419097164572,0.5148441623470227,1.0,0.25249986407167946,-0.08383494883540969,-0.05930103619808442,0.09616279933487296,-0.06502915527626729,-0.08219670898301341,-0.20169409019922996,-0.13096820539919887,0.18624763657383311,0.19457053737528168,0.25468185799506676,0.03900630249789831,-0.1070640265795475,-0.058050628042457406,0.1843885514117005,-0.02199925862611772,-0.07317099232335639,-0.3596561930631402,-0.15268235298583752,0.4877193637852372,-0.08138174154245068,-0.25253173754985553,0.008890379032274343,0.05400177851598616,0.15650461854055472,-0.3066174975219395,-0.01408973236656397,-0.15838728010879027,0.2652889736619128,0.05253749907585769,0.939412779633039,-0.03535178207888706,-0.2419112877378565,0.11903071184276312,-0.05880472444897443,0.07330877051760935,0.07138171630550538,0.02496220487947932,-0.13190285021222753,-0.1841565684927932,-0.06336309602494558,-0.17737517165594918,0.054647539543863664
NK3,0.07429032228481816,-0.3713529538315873,-0.45088961605015654,-0.038250989086515925,0.6006661118988581,0.25249986407167946,1.0,-0.010610955427916945,-0.13993294566410436,0.1679547894238833,-0.1067796543495963,-0.12543807148126818,-0.27241948543221506,-0.17419024817080198,0.46481067001979715,0.10532275223112629,0.16239636645418803,0.05890838744539254,-0.12467598745198913,-0.10311773118360452,0.4591594017153233,-0.08668327813798316,-0.09200581212125387,-0.40960642492872573,-0.1710321976062755,0.6062374432110832,-0.08067746018394702,-0.345559358812072,-0.023415171097424296,0.07758825879797228,0.0957268447667624,-0.3235707227628803,-0.07165001201386625,-0.1670867980658623,0.17129278453743288,0.06150042183872523,0.2562395947576757,0.011598241062056478,-0.25177284538874034,0.027656683352248728,-0.04076302577863907,0.09656573029572028,0.1595405564308713,0.5008637935131308,-0.17691115546434621,-0.23352778383418019,-0.025502226942906988,-0.2133460788982597,0.012338396293543304
Plasmablast,0.06397410990900704,0.2634547612020788,0.1569544454738861,-0.13485451812114188,-0.07165787509934285,-0.08383494883540969,-0.010610955427916945,1.0,0.002648470458785437,0.10501511589916272,-0.055109141732594555,-0.16597084506488347,-0.10759815933079879,0.01521482742431717,-0.07626247488946138,-0.12183078427544784,-0.1065318259535821,-0.12234115959790871,-0.15630813819128783,-0.04057744949496544,-0.05635886952658877,0.006813473580648283,-0.10428284875724751,0.14766588934165767,-0.08933090697430386,-0.06297089012848044,-0.10053862305808334,-0.041017988741662,-0.017315745967004515,-0.052346771233614385,-0.074179983338894,0.2500806261007043,-0.02818943656089885,-0.01814848366676709,-0.08148743752873051,-0.055291688407240566,-0.0929683265411097,-0.08469997033770432,0.04071078525364946,-0.06389454197832767,0.2803726089398804,-0.07872048797690555,0.07891957889967731,4.178757006272937e-05,-0.0807913839359366,-0.0795606905991522,0.828668831355076,0.01970086827644134,0.044727195012890436
Progenitor,-0.3503445271357967,-0.11515086226011254,-0.07367208753823754,0.2982188693756197,-0.1743765516691657,-0.05930103619808442,-0.13993294566410436,0.002648470458785437,1.0,-0.03177189438748733,0.15797641876696814,0.10725237871777928,0.3934621566109969,0.12924280604723443,-0.20950518880184898,-0.06258281805854012,-0.07321020892040639,0.10271153932948532,0.29303513139664267,0.09146641771268388,-0.20348511135702338,0.056220147467019074,0.08133066088788311,-0.08063457882392693,0.28457102693812236,-0.187721582528025,0.21531264614267182,0.45050453147435965,0.10570825864797662,-0.0018662765786031483,-0.05933768401853704,-0.11777417874997245,0.08562511356379142,0.12414188068235478,-0.10788931752602035,-0.1359162202447343,-0.08210910463719144,0.09838758138966672,-0.09686759343197247,0.005038800161970204,0.035337449035282416,-0.061572958010098724,-0.0316794227480937,0.013274530416844791,0.18817120858450048,0.31879311776985353,0.006800774895657323,-0.04657205063134371,0.27670764997534036
Prolif T,-0.16569431497682613,-0.27159498661636666,-0.2644065794234478,-0.12348298938860133,0.21940512730306022,0.09616279933487296,0.1679547894238833,0.10501511589916272,-0.03177189438748733,1.0,0.022951897124883817,-0.018335270557078426,-0.09983852186429581,0.0049459816408722,0.2779616764560381,0.18272740183929137,0.09688611275968737,0.03059961724065114,-0.11765850470249122,-0.10655791341316216,0.27371816974853563,-0.05961866892131023,0.03239355813830056,-0.24155058704120613,-0.039194162441611564,0.22169853291304722,-0.0067161724927434115,-0.048845379240830676,-0.048311345328706644,-0.015627302883183154,0.1807738673134998,-0.22217963051504136,-0.06690979223023528,-0.0010555475196203036,0.1358789875859082,-0.034088451489340886,0.09706213975053919,0.044223961763690665,-0.16482821308158235,-0.01468103643446061,-0.03742215904726243,-0.027557834294594994,0.8939159114622685,0.04644071011730741,-0.038904819353757836,-0.04490114168742559,0.05060618306604289,-0.28699596030239904,0.11964813291452484
