,Batypical,Bmem,Bnaive,Bplasma,NKCD16-,NKCD16+,T4mem,T4naive,Treg,T8em MAIT,T8em cyto1,T8em cyto2,T8naive,ProlifT,cell_type
HES4,0.3970305919647217,-0.24282300472259521,0.0420079231262207,-1.0774846076965332,0.04679156094789505,0.34187954664230347,-0.12268903851509094,0.00031532361754216254,0.06099135801196098,-0.01539866253733635,0.10788948088884354,0.010048780590295792,-0.24585551023483276,-0.49989017844200134,all
ISG15,0.37997886538505554,-0.30808502435684204,-0.18143029510974884,0.25780612230300903,0.12019210308790207,0.4155695140361786,-0.009182808920741081,-0.28466904163360596,0.1719069480895996,-0.10882864892482758,0.4102836549282074,-0.04500438645482063,-0.16800104081630707,0.687658965587616,all
TNFRSF18,-0.14952635765075684,-0.09835776686668396,-0.11286912113428116,0.16826927661895752,1.1959667205810547,0.3786984086036682,0.16088594496250153,-0.1708274483680725,0.10265672951936722,-0.031245887279510498,-0.15192541480064392,-0.12904784083366394,-0.154961958527565,0.13480126857757568,all
TNFRSF4,-0.17016848921775818,-0.14736604690551758,-0.165434792637825,-0.12695467472076416,0.15776850283145905,0.014012113213539124,0.5783461332321167,-0.1649290770292282,0.3299703299999237,-0.101382315158844,-0.1692606508731842,-0.13871502876281738,-0.18730048835277557,0.10160466283559799,all
MIB2,-0.08754703402519226,-0.1327114999294281,-0.16551855206489563,0.010204954072833061,0.34500807523727417,0.3535127639770508,-0.050033990293741226,-0.1068420484662056,-0.10562258213758469,0.0422944538295269,0.12907537817955017,0.019919751212000847,-0.05319875106215477,0.2663448452949524,all
MMP23B,-0.06497959047555923,-0.07857868820428848,-0.12864241003990173,-0.04328690096735954,0.15964089334011078,0.5324572920799255,-0.09864350408315659,-0.12073565274477005,-0.12151334434747696,-0.009082903154194355,0.1232842430472374,-0.06428182125091553,-0.08284277468919754,0.056550104171037674,all
PLCH2,-0.017972471192479134,-0.004766078665852547,0.02157534658908844,-0.06331852078437805,0.3171144425868988,0.04354144632816315,-0.017411040142178535,-0.03042510338127613,-0.014769703149795532,0.00866269413381815,-0.008224069140851498,0.01730409450829029,-0.03986847400665283,0.004982964135706425,all
SMIM1,0.0010518550407141447,0.026235297322273254,0.028558742254972458,0.26502060890197754,-0.008216626942157745,-0.011574444361031055,-0.014104004018008709,0.029875418171286583,0.012598896399140358,-0.06773857772350311,-0.056764863431453705,-0.014974803663790226,0.02351737767457962,-0.021546151489019394,all
UTS2,-0.05804078280925751,-0.09191286563873291,-0.14909280836582184,-0.08987629413604736,0.22481097280979156,0.16731904447078705,-0.030325308442115784,-0.12206525355577469,0.101914182305336,0.07952286303043365,0.19888289272785187,0.01124848984181881,-0.05155617371201515,0.2277037650346756,all
RBP7,-0.06058907136321068,-0.29389333724975586,0.0007989609148353338,-0.8771884441375732,-0.10262355208396912,-0.007323011290282011,-0.06335170567035675,0.15230965614318848,0.22201834619045258,-0.1992296725511551,0.08103267103433609,-0.03995928540825844,-0.06625747680664062,-0.46234437823295593,all
FBXO2,-0.007803215179592371,0.0587509423494339,-0.05303274095058441,0.14035983383655548,-0.04337067902088165,0.13697151839733124,-0.02414483018219471,-0.03138170391321182,-0.05740481987595558,0.023348551243543625,0.007942920550704002,0.007817698642611504,-0.007316542789340019,0.023434290662407875,all
RP11-108M9.6,-0.055576879531145096,-0.05604276433587074,-0.03942694142460823,0.1675952970981598,0.01572902873158455,0.008257871493697166,0.013136399909853935,-0.008529569953680038,0.016538964584469795,0.06314503401517868,0.012543068267405033,0.04915986955165863,-0.007413468323647976,0.01903301477432251,all
CDA,-0.09730950742959976,-0.31444624066352844,0.04159846529364586,-1.1212595701217651,-0.08099981397390366,0.07813268899917603,-0.11456418037414551,0.14247411489486694,0.21649940311908722,-0.17973537743091583,0.11537884175777435,0.00976578425616026,-0.15800322592258453,-0.5810315608978271,all
