,cM,ActcM,ncM,compM,Macro,pDC,cDC,cell_type
HES4,-0.22053363919258118,-0.08817420899868011,1.3257194757461548,1.0977848768234253,-0.27858176827430725,-0.3547894358634949,-0.615446925163269,all
ISG15,-0.18321530520915985,0.9507471919059753,0.05009204521775246,0.2886747121810913,0.04807841777801514,-0.7697802186012268,-0.8081767559051514,all
TNFRSF18,-0.01648731902241707,-0.06986125558614731,0.05910355970263481,0.07731448113918304,0.020275646820664406,0.04047870263457298,0.12262768298387527,all
TNFRSF4,0.033893536776304245,-0.0594867579638958,-0.03289498761296272,-0.11694652587175369,0.027445491403341293,-0.12732025980949402,-0.10398953408002853,all
MIB2,-0.024796750396490097,-0.07111746817827225,0.03779067099094391,0.09171818941831589,-0.01945045404136181,0.823050856590271,0.09488435089588165,all
MMP23B,-0.05772557482123375,-0.05166371539235115,0.026582248508930206,0.02191612496972084,-0.017457038164138794,1.7658888101577759,0.12509673833847046,all
PLCH2,-0.011441146954894066,0.00532706780359149,0.022421548143029213,-0.003520847065374255,0.02335025928914547,0.005303274840116501,-0.014088554307818413,all
SMIM1,0.01595163717865944,0.03274425491690636,-0.017481625080108643,-0.024014735594391823,-0.017084969207644463,-0.14076505601406097,-0.12309388816356659,all
UTS2,0.013805970549583435,0.06033508479595184,-0.11912351846694946,-0.102351114153862,-0.03120392933487892,-0.06451074033975601,0.1703820824623108,all
RBP7,0.13444764912128448,0.003989329095929861,-0.4094422161579132,-0.34514930844306946,0.25553590059280396,-0.5845428705215454,-0.7535504698753357,all
FBXO2,-0.017239617183804512,-0.033814411610364914,0.049834828823804855,-0.007921025156974792,0.02602115459740162,-0.01853872463107109,0.09555105119943619,all
RP11-108M9.6,0.004422479774802923,-0.01042295340448618,-0.009414124302566051,0.03221413865685463,-0.0011654653353616595,-0.05173579230904579,0.015346542000770569,all
CDA,0.11810274422168732,-0.06146128475666046,-0.12328042834997177,-0.32747703790664673,0.09735944867134094,-0.5474171042442322,-0.7798793315887451,all
C1QA,-0.14425529539585114,-0.11269012093544006,0.341279000043869,4.779386520385742,-0.185580775141716,-0.3161309063434601,-0.4870314598083496,all
C1QC,-0.051766280084848404,-0.09065807610750198,-0.15909633040428162,4.52491569519043,-0.09967038780450821,-0.17832225561141968,-0.35086148977279663,all
C1QB,-0.09013424813747406,-0.12525193393230438,-0.15256501734256744,6.003627300262451,-0.1476658582687378,-0.2262258529663086,-0.32774826884269714,all
ID3,-0.01013150904327631,-0.010598783381283283,-0.06343492120504379,0.007189340889453888,-0.032932695001363754,-0.1450602263212204,0.4915614724159241,all
CNR2,-0.033647116273641586,-0.017725003883242607,0.030270978808403015,0.166305810213089,-0.0030547394417226315,0.2805566191673279,0.19017274677753448,all
RUNX3,-0.08146949857473373,0.005936762783676386,0.29538169503211975,0.30340126156806946,-0.0891457051038742,-0.03932103514671326,0.208918496966362,all
STMN1,-0.04765791445970535,-0.11695310473442078,-0.10912653058767319,-0.17110368609428406,-0.08031915128231049,3.7681286334991455,0.10292033851146698,all
ZNF683,-0.061260465532541275,-0.03001905418932438,0.07106045633554459,0.19085679948329926,0.03798368573188782,0.15673533082008362,0.3543277680873871,all
IFI6,-0.11664200574159622,0.9423288106918335,-0.2035050243139267,0.005904718302190304,0.18786752223968506,-1.139055848121643,-0.9536718726158142,all
RP4-728D4.2,-0.008389306254684925,-0.018811654299497604,-0.023363523185253143,-0.028101200237870216,0.05109630525112152,0.030992159619927406,0.08043812215328217,all
CLSPN,0.012951469048857689,0.001488681766204536,0.014449776150286198,-0.11492326110601425,-0.018524644896388054,-0.07321290671825409,-0.06816231459379196,all
CSF3R,0.1831909865140915,0.0994456484913826,-0.6024342179298401,-0.5729919672012329,0.08797424286603928,-0.6535157561302185,-0.4332885444164276,all
PTCH2,0.09217056632041931,0.02057359181344509,-0.19747859239578247,-0.23004357516765594,-0.06323223561048508,-0.13809359073638916,-0.2341862916946411,all
PDZK1IP1,0.03985360264778137,0.006821469869464636,-0.03446431830525398,-0.06740719079971313,-0.014272307977080345,-0.6876423358917236,-0.05651400610804558,all
RNF11,-0.007207066286355257,0.008650965057313442,0.013958469964563847,0.0029846378602087498,-0.018712539225816727,0.3857212960720062,-0.07825944572687149,all
SLC1A7,-0.05104659125208855,-0.022194212302565575,0.07544910162687302,0.1504058837890625,0.02400054782629013,0.04892108589410782,0.2958827316761017,all
TTC22,-0.014232542365789413,0.0020490181632339954,0.004487191792577505,-0.009167677722871304,0.018510235473513603,0.07256116718053818,0.07347249984741211,all
