"Sample_ID","ct_cov","coefficient","cell_count"
"1004_1004","cDC",0,1
"1004_1004","cM",0,19
"1004_1004","DB",0,13
"1004_1004","ncM",0,2
"1004_1004","NK",0,5
"1004_1004","ProlifT",0.0606673407482306,46
"1004_1004","Tc",0,207
"1004_1004","Th",0,178
"1014_1014","B",0,2
"1014_1014","cDC",0,4
"1014_1014","cM",0,15
"1014_1014","DB",0,6
"1014_1014","ncM",0,9
"1014_1014","NK",0,8
"1014_1014","Progen",0,1
"1014_1014","ProlifT",0,4
"1014_1014","Tc",0.229086473298997,310
"1014_1014","Th",0,64
"1019_1019","B",0,12
"1019_1019","cDC",0,1
"1019_1019","cM",0,13
"1019_1019","DB",0,7
"1019_1019","ncM",0,4
"1019_1019","NK",0,15
"1019_1019","Progen",0,1
"1019_1019","Tc",0.00653537818055067,152
"1019_1019","Th",0,351
"1045_1045","B",0,14
"1045_1045","cM",0,22
"1045_1045","DB",0,1
"1045_1045","ncM",0,4
"1045_1045","NK",0,7
"1045_1045","ProlifT",0.041501976284585,23
"1045_1045","Tc",0.0879581151832461,210
"1045_1045","Th",0,44
"1051_1051","B",0,9
"1051_1051","cDC",0,3
"1051_1051","cM",0,15
"1051_1051","DB",0,5
"1051_1051","ncM",0,1
"1051_1051","NK",0,10
"1051_1051","pDC",0,1
"1051_1051","Progen",0,1
"1051_1051","ProlifT",0,5
"1051_1051","Tc",0,84
"1051_1051","Th",0,103
"1054_1054","B",0,12
"1054_1054","cDC",0,3
"1054_1054","cM",0,14
"1054_1054","DB",0,7
"1054_1054","ncM",0,9
"1054_1054","NK",0,3
"1054_1054","pDC",0,1
"1054_1054","ProlifT",0,7
"1054_1054","Tc",0,163
"1054_1054","Th",0,117
"1056_1056","B",0,7
"1056_1056","cDC",0,5
"1056_1056","cM",0,17
"1056_1056","DB",0,5
"1056_1056","ncM",0,7
"1056_1056","NK",0,10
"1056_1056","pDC",0,2
"1056_1056","ProlifT",0,7
"1056_1056","Tc",0.00724559896951483,137
"1056_1056","Th",0,102
"1078_1078","B",0,9
"1078_1078","cDC",0,3
"1078_1078","cM",0,23
"1078_1078","DB",0,3
"1078_1078","ncM",0,5
"1078_1078","NK",0,2
"1078_1078","ProlifT",0,3
"1078_1078","Tc",0.069347604869408,169
"1078_1078","Th",0,85
"1110_1110","cDC",0,1
"1110_1110","cM",0,9
"1110_1110","ncM",0,5
"1110_1110","NK",0,7
"1110_1110","ProlifT",0,3
"1110_1110","Tc",0.0567757680160782,172
"1110_1110","Th",0,27
"1127_1127","B",0,11
"1127_1127","cDC",0,1
"1127_1127","cM",0,10
"1127_1127","DB",0,5
"1127_1127","Tc",0,69
"1127_1127","Th",0,233
"1132_1132","B",0,3
"1132_1132","cDC",0,3
"1132_1132","cM",0,23
"1132_1132","DB",0,4
"1132_1132","ncM",0,8
"1132_1132","NK",0,2
"1132_1132","ProlifT",0,5
"1132_1132","Tc",0,146
"1132_1132","Th",0,163
"1195_1195","B",0,1
"1195_1195","cM",0,1
"1195_1195","ncM",0,1
"1195_1195","ProlifT",0,2
"1195_1195","Tc",0.103395061728395,27
"1195_1195","Th",0,16
"1196_1196","B",0,9
"1196_1196","cDC",0,1
"1196_1196","cM",0,7
"1196_1196","DB",0,4
"1196_1196","ncM",0,3
"1196_1196","NK",0,8
"1196_1196","ProlifT",0,1
"1196_1196","Tc",0,44
"1196_1196","Th",0,127
"1197_1197","B",0,6
"1197_1197","cDC",0,1
"1197_1197","cM",0,2
"1197_1197","DB",0,2
"1197_1197","NK",0,1
"1197_1197","pDC",0,1
"1197_1197","ProlifT",0,4
"1197_1197","Tc",0.0166569257744009,59
"1197_1197","Th",0,42
"1203_1203","B",0,7
"1203_1203","cM",0,9
"1203_1203","DB",0,7
"1203_1203","ncM",0,4
"1203_1203","NK",0,2
"1203_1203","ProlifT",0,11
"1203_1203","Tc",0.0290651614181026,204
"1203_1203","Th",0,247
"1219_1219","B",0,1
"1219_1219","cM",0,3
"1219_1219","DB",0,1
"1219_1219","MK",0,1
"1219_1219","ncM",0,2
"1219_1219","NK",0,1
"1219_1219","ProlifT",0,3
"1219_1219","Tc",0.0149184149184149,66
"1219_1219","Th",0,92
"1221_1221","cM",0,7
"1221_1221","DB",0,2
"1221_1221","ncM",0,1
"1221_1221","NK",0,2
"1221_1221","ProlifT",0,1
"1221_1221","Tc",0.070608108108108,80
"1221_1221","Th",0,40
"1243_1243","B",0,1
"1243_1243","cM",0,3
"1243_1243","DB",0,2
"1243_1243","ncM",0,1
"1243_1243","NK",0,3
"1243_1243","ProlifT",0,2
"1243_1243","Tc",0.021969696969697,90
"1243_1243","Th",0,71
"1250_1250","cDC",0,2
"1250_1250","cM",0,6
"1250_1250","DB",0,2
"1250_1250","ncM",0,2
"1250_1250","NK",0,1
"1250_1250","ProlifT",0,3
"1250_1250","Tc",0.0188536953242835,52
"1250_1250","Th",0,67
"1251_1251","B",0,4
"1251_1251","cDC",0,2
"1251_1251","cM",0,11
"1251_1251","DB",0,2
"1251_1251","ncM",0,3
"1251_1251","NK",0,3
"1251_1251","ProlifT",0,3
"1251_1251","Tc",0.0581622678396872,66
"1251_1251","Th",0,51
"1259_1259","B",0,4
"1259_1259","cDC",0,1
"1259_1259","cM",0,14
"1259_1259","DB",0,1
"1259_1259","ncM",0,7
"1259_1259","NK",0,9
"1259_1259","Progen",0,1
"1259_1259","ProlifT",0,4
"1259_1259","Tc",0.0465784933870041,148
"1259_1259","Th",0,67
"1262_1262","B",0,5
"1262_1262","cDC",0,3
"1262_1262","cM",0,9
"1262_1262","DB",0,2
"1262_1262","ncM",0,3
"1262_1262","ProlifT",0,1
"1262_1262","Tc",0.0802880288028803,110
"1262_1262","Th",0,83
"1270_1270","B",0,2
"1270_1270","cDC",0,2
"1270_1270","cM",0,9
"1270_1270","DB",0,1
"1270_1270","ncM",0,1
"1270_1270","NK",0,6
"1270_1270","ProlifT",0,1
"1270_1270","Tc",0.118264609157602,134
"1270_1270","Th",0,44
"1279_1279","B",0,2
"1279_1279","cDC",0,1
"1279_1279","cM",0,9
"1279_1279","DB",0,4
"1279_1279","MK",0,1
"1279_1279","ncM",0,2
"1279_1279","NK",0,4
"1279_1279","ProlifT",0.132413793103448,29
"1279_1279","Tc",0.0240662603531803,162
"1279_1279","Th",0,63
"1297_1297","B",0,9
"1297_1297","cDC",0,1
"1297_1297","cM",0,6
"1297_1297","DB",0,2
"1297_1297","ncM",0,4
"1297_1297","NK",0,11
"1297_1297","ProlifT",0,1
"1297_1297","Tc",0.0551419906258616,124
"1297_1297","Th",0,92
"1338_1338","B",0,9
"1338_1338","cM",0,9
"1338_1338","DB",0,4
"1338_1338","MK",0,1
"1338_1338","NK",0,1
"1338_1338","ProlifT",0,2
"1338_1338","Tc",0.0192655027092113,154
"1338_1338","Th",0,102
"1567_1567","cM",0,2
"1567_1567","NK",0,1
"1567_1567","ProlifT",0,1
"1567_1567","Tc",0.162267080745342,56
"1567_1567","Th",0,3
"1582_1582","cM",0,2
"1582_1582","ProlifT",0,3
"1582_1582","Tc",0,14
"1582_1582","Th",0,29
"1584_1584","B",0,1
"1584_1584","cM",0,5
"1584_1584","DB",0,1
"1584_1584","ncM",0,1
"1584_1584","pDC",0,1
"1584_1584","ProlifT",0,4
"1584_1584","Tc",0,30
"1584_1584","Th",0,26
"1597_1597","cM",0,4
"1597_1597","DB",0,3
"1597_1597","NK",0,2
"1597_1597","Tc",0.065410199556541,44
"1597_1597","Th",0,33
"1614_1614","B",0,2
"1614_1614","cDC",0,2
"1614_1614","cM",0,2
"1614_1614","DB",0,2
"1614_1614","ncM",0,2
"1614_1614","NK",0,2
"1614_1614","ProlifT",0,1
"1614_1614","Tc",0,35
"1614_1614","Th",0,32
"1623_1623","B",0,1
"1623_1623","cM",0,5
"1623_1623","DB",0,3
"1623_1623","NK",0,1
"1623_1623","ProlifT",0,3
"1623_1623","Tc",0,24
"1623_1623","Th",0,37
"1641_1641","B",0,25
"1641_1641","cDC",0,1
"1641_1641","cM",0,32
"1641_1641","DB",0,3
"1641_1641","ncM",0,9
"1641_1641","NK",0,8
"1641_1641","ProlifT",0,9
"1641_1641","Tc",0.086396326750533,306
"1641_1641","Th",0.0133283968900407,74
"1660_1660","B",0,6
"1660_1660","cDC",0,3
"1660_1660","cM",0,7
"1660_1660","DB",0,4
"1660_1660","ncM",0,1
"1660_1660","NK",0,1
"1660_1660","ProlifT",0,1
"1660_1660","Tc",0,50
"1660_1660","Th",0,48
"1667_1667","B",0,10
"1667_1667","cDC",0,3
"1667_1667","cM",0,17
"1667_1667","DB",0,3
"1667_1667","MK",0,1
"1667_1667","ncM",0,8
"1667_1667","NK",0,11
"1667_1667","pDC",0,1
"1667_1667","ProlifT",0,2
"1667_1667","Tc",0.036923076923077,156
"1667_1667","Th",0,82
"1672_1672","B",0,4
"1672_1672","cDC",0,5
"1672_1672","cM",0,55
"1672_1672","DB",0,2
"1672_1672","ncM",0,15
"1672_1672","NK",0,9
"1672_1672","ProlifT",0,2
"1672_1672","Tc",0.00833214641788913,119
"1672_1672","Th",0,58
"1682_1682","B",0,14
"1682_1682","cDC",0,2
"1682_1682","cM",0,20
"1682_1682","DB",0,4
"1682_1682","MK",0,1
"1682_1682","ncM",0,3
"1682_1682","NK",0,5
"1682_1682","Progen",0,1
"1682_1682","ProlifT",0,14
"1682_1682","Tc",0.0240853658536585,82
"1682_1682","Th",0,35
"1731_1731","B",0,1
"1731_1731","cM",0,1
"1731_1731","DB",0,2
"1731_1731","ncM",0,1
"1731_1731","ProlifT",0,1
"1731_1731","Tc",0,22
"1731_1731","Th",0,11
"1741_1741","B",0,12
"1741_1741","cM",0,11
"1741_1741","NK",0,1
"1741_1741","pDC",0,1
"1741_1741","ProlifT",0.0343915343915343,28
"1741_1741","Tc",0.101823185414517,57
"1741_1741","Th",0,20
"1743_1743","B",0,3
"1743_1743","cDC",0,2
"1743_1743","cM",0,9
"1743_1743","NK",0,1
"1743_1743","ProlifT",0,2
"1743_1743","Tc",0,39
"1743_1743","Th",0,23
"1754_1754","B",0,13
"1754_1754","cDC",0,3
"1754_1754","cM",0,14
"1754_1754","DB",0,1
"1754_1754","MK",0,1
"1754_1754","ncM",0,10
"1754_1754","ProlifT",0,1
"1754_1754","Tc",0.0619047619047619,30
"1754_1754","Th",0,19
"1760_1760","B",0,3
"1760_1760","cM",0,4
"1760_1760","NK",0,2
"1760_1760","ProlifT",0,12
"1760_1760","Tc",0,21
"1760_1760","Th",0,16
"1763_1763","B",0,1
"1763_1763","cM",0,16
"1763_1763","DB",0,2
"1763_1763","ncM",0,6
"1763_1763","ProlifT",0,3
"1763_1763","Tc",0.102857142857143,28
"1763_1763","Th",0,35
"1767_1767","B",0,5
"1767_1767","cDC",0,1
"1767_1767","cM",0,7
"1767_1767","ncM",0,3
"1767_1767","ProlifT",0,8
"1767_1767","Tc",0.0349914236706689,55
"1767_1767","Th",0,32
"1768_1768","B",0,1
"1768_1768","cM",0,7
"1768_1768","MK",0,1
"1768_1768","ncM",0,2
"1768_1768","NK",0,1
"1768_1768","ProlifT",0,4
"1768_1768","Tc",0.0131531531531531,75
"1768_1768","Th",0,20
"1771_1771","B",0,2
"1771_1771","cDC",0,6
"1771_1771","cM",0,18
"1771_1771","DB",0,1
"1771_1771","ncM",0,4
"1771_1771","NK",0,2
"1771_1771","pDC",0,1
"1771_1771","ProlifT",0,3
"1771_1771","Tc",0.0902255639097745,63
"1771_1771","Th",0,14
"1775_1775","cDC",0,2
"1775_1775","cM",0,3
"1775_1775","DB",0,1
"1775_1775","NK",0,1
"1775_1775","ProlifT",0,5
"1775_1775","Tc",0.0442427680090754,43
"1775_1775","Th",0,28
"1791_1791","B",0,1
"1791_1791","cDC",0,1
"1791_1791","cM",0,13
"1791_1791","DB",0,4
"1791_1791","ncM",0,2
"1791_1791","NK",0,3
"1791_1791","ProlifT",0,5
"1791_1791","Tc",0.0436100746268657,67
"1791_1791","Th",0,30
"1827_1827","B",0,11
"1827_1827","cDC",0,3
"1827_1827","cM",0,15
"1827_1827","DB",0,3
"1827_1827","ncM",0,5
"1827_1827","NK",0,9
"1827_1827","pDC",0,2
"1827_1827","Tc",0,68
"1827_1827","Th",0,68
"1848_1848","B",0,18
"1848_1848","cDC",0,4
"1848_1848","cM",0,18
"1848_1848","DB",0,5
"1848_1848","ncM",0,5
"1848_1848","NK",0,14
"1848_1848","ProlifT",0,4
"1848_1848","Tc",0,101
"1848_1848","Th",0,86
"1891_1891","B",0,17
"1891_1891","cM",0,31
"1891_1891","DB",0,4
"1891_1891","ncM",0,5
"1891_1891","NK",0,18
"1891_1891","Progen",0,1
"1891_1891","ProlifT",0,1
"1891_1891","Tc",0.0275132275132275,108
"1891_1891","Th",0,135
"1892_1892","B",0,9
"1892_1892","cDC",0,7
"1892_1892","cM",0,27
"1892_1892","DB",0,3
"1892_1892","MK",0,1
"1892_1892","ncM",0,7
"1892_1892","NK",0,5
"1892_1892","pDC",0,1
"1892_1892","ProlifT",0,3
"1892_1892","Tc",0.00943223443223436,105
"1892_1892","Th",0,57
"1958_1958","B",0,5
"1958_1958","cDC",0,2
"1958_1958","cM",0,10
"1958_1958","DB",0,1
"1958_1958","ncM",0,1
"1958_1958","NK",0,1
"1958_1958","pDC",0,1
"1958_1958","ProlifT",0,3
"1958_1958","Tc",0,41
"1958_1958","Th",0,39
"1961_1961","B",0,10
"1961_1961","cDC",0,1
"1961_1961","cM",0,23
"1961_1961","DB",0,1
"1961_1961","ProlifT",0,18
"1961_1961","Tc",0.176744186046512,43
"1961_1961","Th",0,7
"900033200_900033200","B",0,19
"900033200_900033200","cDC",0,3
"900033200_900033200","cM",0,12
"900033200_900033200","DB",0,17
"900033200_900033200","MK",0,1
"900033200_900033200","ncM",0,4
"900033200_900033200","NK",0,8
"900033200_900033200","ProlifT",0,4
"900033200_900033200","Tc",0.0144823779046698,343
"900033200_900033200","Th",0,222
"900034200_900034200","B",0,4
"900034200_900034200","cDC",0,4
"900034200_900034200","cM",0,34
"900034200_900034200","DB",0,11
"900034200_900034200","MK",0,1
"900034200_900034200","ncM",0,3
"900034200_900034200","NK",0,4
"900034200_900034200","pDC",0,1
"900034200_900034200","Progen",0,1
"900034200_900034200","ProlifT",0,1
"900034200_900034200","Tc",0.0290542490261146,239
"900034200_900034200","Th",0,278
"900216200_900216200","B",0,2
"900216200_900216200","cM",0,3
"900216200_900216200","DB",0,7
"900216200_900216200","NK",0,9
"900216200_900216200","ProlifT",0,1
"900216200_900216200","Tc",0.175715333822451,116
"900216200_900216200","Th",0,69
"900260200_900260200","B",0,15
"900260200_900260200","cDC",0,1
"900260200_900260200","cM",0,13
"900260200_900260200","DB",0,4
"900260200_900260200","ncM",0,14
"900260200_900260200","NK",0,8
"900260200_900260200","ProlifT",0,3
"900260200_900260200","Tc",0.0384345384345385,77
"900260200_900260200","Th",0,42
"900358200_900358200","B",0,5
"900358200_900358200","cDC",0,2
"900358200_900358200","cM",0,4
"900358200_900358200","DB",0,3
"900358200_900358200","MK",0,1
"900358200_900358200","ncM",0,2
"900358200_900358200","NK",0.125874125874126,13
"900358200_900358200","ProlifT",0,5
"900358200_900358200","Tc",0.133971513133555,159
"900358200_900358200","Th",0,39
"900373200_900373200","B",0,2
"900373200_900373200","cM",0,18
"900373200_900373200","DB",0,2
"900373200_900373200","ncM",0,11
"900373200_900373200","NK",0,7
"900373200_900373200","pDC",0,1
"900373200_900373200","ProlifT",0,4
"900373200_900373200","Tc",0.021256038647343,46
"900373200_900373200","Th",0,50
"900556200_900556200","B",0,3
"900556200_900556200","cDC",0,1
"900556200_900556200","cM",0,5
"900556200_900556200","DB",0,3
"900556200_900556200","ncM",0,5
"900556200_900556200","NK",0,9
"900556200_900556200","pDC",0,1
"900556200_900556200","ProlifT",0,5
"900556200_900556200","Tc",0.239811912225705,77
"900556200_900556200","Th",0,20
"900598200_900598200","cM",0,3
"900598200_900598200","DB",0,1
"900598200_900598200","ncM",0,1
"900598200_900598200","NK",0,2
"900598200_900598200","ProlifT",0,8
"900598200_900598200","Tc",0,78
"900598200_900598200","Th",0,38
"900759200_900759200","B",0,1
"900759200_900759200","cM",0,3
"900759200_900759200","DB",0,2
"900759200_900759200","ncM",0,1
"900759200_900759200","pDC",0,1
"900759200_900759200","ProlifT",0,1
"900759200_900759200","Tc",0,21
"900759200_900759200","Th",0,27
"900805200_900805200","B",0,3
"900805200_900805200","cDC",0,4
"900805200_900805200","cM",0,6
"900805200_900805200","DB",0,3
"900805200_900805200","ncM",0,2
"900805200_900805200","NK",0,4
"900805200_900805200","ProlifT",0,1
"900805200_900805200","Tc",0,24
"900805200_900805200","Th",0,42
"900903200_900903200","B",0,13
"900903200_900903200","cDC",0,5
"900903200_900903200","cM",0,24
"900903200_900903200","DB",0,5
"900903200_900903200","ncM",0,4
"900903200_900903200","NK",0,6
"900903200_900903200","ProlifT",0,1
"900903200_900903200","Tc",0.0376923076923077,104
"900903200_900903200","Th",0,80
"901347200_901347200","B",0,14
"901347200_901347200","cDC",0,1
"901347200_901347200","cM",0,10
"901347200_901347200","DB",0,7
"901347200_901347200","MK",0,1
"901347200_901347200","ncM",0,12
"901347200_901347200","NK",0,5
"901347200_901347200","ProlifT",0,8
"901347200_901347200","Tc",0.0114911080711355,172
"901347200_901347200","Th",0,79
"901560200_901560200","cM",0,2
"901560200_901560200","DB",0,4
"901560200_901560200","ncM",0,1
"901560200_901560200","NK",0,1
"901560200_901560200","ProlifT",0,3
"901560200_901560200","Tc",0.0464285714285714,42
"901560200_901560200","Th",0,33
"901911200_901911200","B",0,3
"901911200_901911200","cM",0,4
"901911200_901911200","DB",0,1
"901911200_901911200","NK",0,2
"901911200_901911200","ProlifT",0,5
"901911200_901911200","Tc",0,35
"901911200_901911200","Th",0,32
"902289200_902289200","B",0,8
"902289200_902289200","cM",0,11
"902289200_902289200","DB",0,6
"902289200_902289200","ncM",0,2
"902289200_902289200","NK",0,3
"902289200_902289200","ProlifT",0,4
"902289200_902289200","Tc",0.0341289145636972,286
"902289200_902289200","Th",0,167
"902692200_902692200","B",0,2
"902692200_902692200","cDC",0,1
"902692200_902692200","cM",0,17
"902692200_902692200","DB",0,2
"902692200_902692200","ncM",0,3
"902692200_902692200","NK",0,10
"902692200_902692200","ProlifT",0,9
"902692200_902692200","Tc",0.186838851490589,251
"902692200_902692200","Th",0,49
"903398200_903398200","B",0,3
"903398200_903398200","cDC",0,1
"903398200_903398200","cM",0,5
"903398200_903398200","ncM",0,3
"903398200_903398200","NK",0,3
"903398200_903398200","ProlifT",0,4
"903398200_903398200","Tc",0.0149184149184149,66
"903398200_903398200","Th",0,53
"903648200_903648200","B",0,13
"903648200_903648200","cDC",0,3
"903648200_903648200","cM",0,16
"903648200_903648200","DB",0,12
"903648200_903648200","MK",0,1
"903648200_903648200","ncM",0,1
"903648200_903648200","NK",0,1
"903648200_903648200","Progen",0,2
"903648200_903648200","ProlifT",0,3
"903648200_903648200","Tc",0.0284544453619599,173
"903648200_903648200","Th",0,260
"903884200_903884200","B",0,5
"903884200_903884200","cDC",0,1
"903884200_903884200","cM",0,16
"903884200_903884200","DB",0,15
"903884200_903884200","ncM",0,4
"903884200_903884200","NK",0,5
"903884200_903884200","ProlifT",0.0369230769230769,26
"903884200_903884200","Tc",0.0250704278610728,233
"903884200_903884200","Th",0,201
"904007200_904007200","B",0,2
"904007200_904007200","cM",0,4
"904007200_904007200","ProlifT",0,4
"904007200_904007200","Tc",0.127906976744186,86
"904007200_904007200","Th",0,27
"904025200_904025200","B",0,4
"904025200_904025200","cDC",0,8
"904025200_904025200","cM",0,19
"904025200_904025200","DB",0,5
"904025200_904025200","ncM",0,3
"904025200_904025200","NK",0,5
"904025200_904025200","Tc",0.14265447667087,122
"904025200_904025200","Th",0,57
"904033200_904033200","B",0,7
"904033200_904033200","cDC",0,2
"904033200_904033200","cM",0,4
"904033200_904033200","DB",0,1
"904033200_904033200","ncM",0,1
"904033200_904033200","NK",0,1
"904033200_904033200","ProlifT",0.0398550724637682,24
"904033200_904033200","Tc",0.0217171717171717,45
"904033200_904033200","Th",0,54
"904194200_904194200","B",0,10
"904194200_904194200","cM",0,5
"904194200_904194200","DB",0,15
"904194200_904194200","ncM",0,2
"904194200_904194200","NK",0,23
"904194200_904194200","ProlifT",0,10
"904194200_904194200","Tc",0,234
"904194200_904194200","Th",0,235
"904236200_904236200","B",0,4
"904236200_904236200","DB",0,4
"904236200_904236200","NK",0,1
"904236200_904236200","pDC",0,1
"904236200_904236200","ProlifT",0,5
"904236200_904236200","Tc",0.10925895362271,83
"904236200_904236200","Th",0,48
"904405200_904405200","B",0,4
"904405200_904405200","cM",0,8
"904405200_904405200","DB",0,3
"904405200_904405200","ncM",0,9
"904405200_904405200","NK",0,8
"904405200_904405200","pDC",0,1
"904405200_904405200","ProlifT",0,6
"904405200_904405200","Tc",0.0381034856029444,155
"904405200_904405200","Th",0,69
"904425200_904425200","B",0,8
"904425200_904425200","cDC",0,1
"904425200_904425200","cM",0,11
"904425200_904425200","ncM",0,1
"904425200_904425200","NK",0,2
"904425200_904425200","ProlifT",0,4
"904425200_904425200","Tc",0.0461309523809524,84
"904425200_904425200","Th",0,33
"904463200_904463200","B",0,3
"904463200_904463200","cDC",0,2
"904463200_904463200","cM",0,36
"904463200_904463200","DB",0,5
"904463200_904463200","MK",0,2
"904463200_904463200","ncM",0,11
"904463200_904463200","NK",0,3
"904463200_904463200","ProlifT",0,18
"904463200_904463200","Tc",0,169
"904463200_904463200","Th",0,151
"904464200_904464200","B",0,14
"904464200_904464200","cDC",0,3
"904464200_904464200","cM",0,19
"904464200_904464200","DB",0,6
"904464200_904464200","ncM",0,6
"904464200_904464200","NK",0,9
"904464200_904464200","ProlifT",0,4
"904464200_904464200","Tc",0,207
"904464200_904464200","Th",0,231
"904477200_904477200","B",0,7
"904477200_904477200","cM",0,6
"904477200_904477200","DB",0,1
"904477200_904477200","ncM",0,6
"904477200_904477200","NK",0,6
"904477200_904477200","ProlifT",0,6
"904477200_904477200","Tc",0.111016056857068,131
"904477200_904477200","Th",0,125
"IGTB1290","B",0,10
"IGTB1290","cDC",0,4
"IGTB1290","cM",0,13
"IGTB1290","DB",0,4
"IGTB1290","ncM",0,2
"IGTB1290","NK",0,5
"IGTB1290","pDC",0,1
"IGTB1290","Tc",0,56
"IGTB1290","Th",0,108
"IGTB1372","B",0,9
"IGTB1372","cM",0,7
"IGTB1372","DB",0,10
"IGTB1372","ncM",0,2
"IGTB1372","NK",0,9
"IGTB1372","ProlifT",0,3
"IGTB1372","Tc",0,101
"IGTB1372","Th",0,176
"IGTB141","cM",0,1
"IGTB141","DB",0,1
"IGTB141","NK",0,1
"IGTB141","ProlifT",0,1
"IGTB141","Tc",0,18
"IGTB141","Th",0,18
"IGTB143","B",0,3
"IGTB143","cDC",0,3
"IGTB143","cM",0,3
"IGTB143","DB",0,6
"IGTB143","ncM",0,2
"IGTB143","NK",0,2
"IGTB143","ProlifT",0,4
"IGTB143","Tc",0,98
"IGTB143","Th",0,303
"IGTB1506","B",0,4
"IGTB1506","cDC",0,1
"IGTB1506","cM",0,6
"IGTB1506","DB",0,5
"IGTB1506","ncM",0,1
"IGTB1506","NK",0,4
"IGTB1506","ProlifT",0,1
"IGTB1506","Tc",0,58
"IGTB1506","Th",0,81
"IGTB1539","B",0,2
"IGTB1539","cDC",0,1
"IGTB1539","cM",0,1
"IGTB1539","NK",0,2
"IGTB1539","ProlifT",0,2
"IGTB1539","Tc",0.0818181818181818,11
"IGTB1539","Th",0,24
"IGTB1540","B",0,15
"IGTB1540","cDC",0,3
"IGTB1540","cM",0,18
"IGTB1540","DB",0,11
"IGTB1540","ncM",0,1
"IGTB1540","NK",0,22
"IGTB1540","pDC",0,1
"IGTB1540","ProlifT",0,3
