"gini","sample","batch","cell_count"
0,"1004_1004","lupus7.13",262
0,"1014_1014","lupus7.13",99
0,"1019_1019","lupus7.13",426
0,"1045_1045","lupus7.13",69
0,"1051_1051","lupus7.13",116
0,"1054_1054","lupus7.13",121
0,"1078_1078","lupus7.13",141
0,"900033200_900033200","lupus7.13",308
0,"900034200_900034200","lupus7.13",363
0,"901347200_901347200","lupus7.13",185
0,"903648200_903648200","lupus7.13",347
0,"903884200_903884200","lupus7.13",230
0,"IGTB1372","lupus7.13",210
0,"IGTB1540","lupus7.13",251
0,"IGTB1650","lupus7.13",286
0,"IGTB670","lupus7.13",413
0,"1056_1056","lupus7.19",139
0,"1110_1110","lupus7.19",47
0,"1127_1127","lupus7.19",229
0,"1132_1132","lupus7.19",213
0,"1196_1196","lupus7.19",113
0,"1203_1203","lupus7.19",251
0,"900903200_900903200","lupus7.19",105
0,"902692200_902692200","lupus7.19",110
0,"904194200_904194200","lupus7.19",286
0,"904405200_904405200","lupus7.19",83
0,"904463200_904463200","lupus7.19",174
0,"904464200_904464200","lupus7.19",259
0,"IGTB1540","lupus7.19",106
0,"IGTB1650","lupus7.19",166
0,"IGTB195","lupus7.19",159
0,"IGTB498","lupus7.19",126
0,"1195_1195","lupus7.20",26
0,"1197_1197","lupus7.20",70
0,"1219_1219","lupus7.20",115
0.0383333333333334,"1221_1221","lupus7.20",100
0,"1243_1243","lupus7.20",86
0,"1250_1250","lupus7.20",92
0,"900216200_900216200","lupus7.20",85
0,"900598200_900598200","lupus7.20",67
0,"901911200_901911200","lupus7.20",41
0,"903398200_903398200","lupus7.20",77
0,"904033200_904033200","lupus7.20",57
0,"904236200_904236200","lupus7.20",71
0,"IGTB143","lupus7.20",74
0,"IGTB1506","lupus7.20",35
0,"IGTB195","lupus7.20",51
0,"IGTB498","lupus7.20",64
0,"1251_1251","lupus7.26",64
0,"1259_1259","lupus7.26",105
0,"1262_1262","lupus7.26",80
0,"1270_1270","lupus7.26",78
0,"1279_1279","lupus7.26",88
0.00621069182389944,"1297_1297","lupus7.26",160
0,"1338_1338","lupus7.26",166
0,"900358200_900358200","lupus7.26",55
0,"902289200_902289200","lupus7.26",223
0,"904007200_904007200","lupus7.26",46
0,"904425200_904425200","lupus7.26",50
0,"904477200_904477200","lupus7.26",130
0,"IGTB143","lupus7.26",213
0,"IGTB1506","lupus7.26",61
0,"IGTB884","lupus7.26",41
0,"IGTB986","lupus7.26",156
0,"1567_1567","lupus8.16",7
0,"1582_1582","lupus8.16",33
0,"1584_1584","lupus8.16",36
0,"1597_1597","lupus8.16",48
0,"1614_1614","lupus8.16",48
0,"1623_1623","lupus8.16",48
0,"1731_1731","lupus8.16",20
0,"1760_1760","lupus8.16",18
0,"1775_1775","lupus8.16",35
0,"900759200_900759200","lupus8.16",31
0,"901560200_901560200","lupus8.16",53
0,"IGTB1539","lupus8.16",17
0,"IGTB1575","lupus8.16",32
0,"IGTB514","lupus8.16",37
0,"IGTB645","lupus8.16",30
0.0152597204419216,"1641_1641","lupus8.17",129
0,"1660_1660","lupus8.17",53
0,"1667_1667","lupus8.17",118
0,"1672_1672","lupus8.17",83
0,"1682_1682","lupus8.17",42
0,"1827_1827","lupus8.17",74
0,"1848_1848","lupus8.17",146
0,"1891_1891","lupus8.17",160
0,"1892_1892","lupus8.17",108
0,"900260200_900260200","lupus8.17",76
0,"900373200_900373200","lupus8.17",58
0,"904025200_904025200","lupus8.17",67
0,"IGTB1290","lupus8.17",100
0,"IGTB256","lupus8.17",99
0,"IGTB514","lupus8.17",71
0,"IGTB645","lupus8.17",71
0,"1741_1741","lupus8.23",23
0,"1743_1743","lupus8.23",41
0,"1754_1754","lupus8.23",33
0,"1763_1763","lupus8.23",39
0,"1767_1767","lupus8.23",32
0,"1768_1768","lupus8.23",32
0,"1771_1771","lupus8.23",36
0.0237988993009073,"1791_1791","lupus8.23",83
0,"1958_1958","lupus8.23",60
0,"1961_1961","lupus8.23",8
0.0217171717171717,"900556200_900556200","lupus8.23",45
0,"900805200_900805200","lupus8.23",52
0,"IGTB1290","lupus8.23",18
0,"IGTB1542","lupus8.23",46
0,"IGTB1921","lupus8.23",36
0,"IGTB256","lupus8.23",36
0,"IGTB141","lupus8.9",26
0,"IGTB1539","lupus8.9",6
0,"IGTB1575","lupus8.9",19
0,"IGTB826","lupus8.9",16
